tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
464302750,464302751,100,4da632a986c3a43f75c7df64f27a90bbf7ff8039,python,unknown,1,python,,false,,,,,,,,,,,,227
613096099,613096105,103,c79ba355e10d70eab5f387037214ca7b467c18da,python,ok,1,python,unittest,true,false,14,0,14,0,,,,,0.07,,230
658684388,658684395,107,bf72cb0d4c4346835f0e8a8722d55de99196c9fa,python,broken,1,python,unittest,true,false,14,0,14,0,,,,,0.05,,230
659110966,659110971,110,e5da029f829cb74d9bd805bf62c6ee72fa8fb5be,python,unknown,1,python,,false,,,,,,,,,,,,239
659117846,659117849,115,bf72cb0d4c4346835f0e8a8722d55de99196c9fa,python,unknown,1,python,,false,,,,,,,,,,,,230
659121014,659121019,119,664367ffde945661583b0434309882ec74c5ad06,python,ok,1,python,unittest,true,false,14,0,14,0,,,,,0.08,,236
748363643,748363652,123,6565a3b44837a3b42f1aab0adbefa768adea010f,python,ok,1,python,unittest,true,false,16,0,16,0,,,,,0.05,,256
4358118,4358121,13,d78cc37ec54da85e0c9a7d5798c39835e93bf8d9,python,unknown,,python,unittest,true,false,8,0,8,0,,,,,0.01,,127
21500599,21500604,23,91448f3e05df673df8cd5c89867877cb5d640d5e,python,ok,,python,unittest,true,false,9,0,9,0,,,,,0.22,,156
23293072,23293075,35,fd03a801bf41b5dc048cfb18ee272b0a91146c77,python,ok,,python,unittest,true,false,11,0,11,0,,,,,0.05,,170
101590624,101590633,59,0f066358ac488f77e5b0d68e905d1ee88f3251ee,python,ok,8,python,unittest,true,false,15,0,15,0,,,,,0.13,,240
102217859,102217860,62,0f066358ac488f77e5b0d68e905d1ee88f3251ee,python,unknown,4,python,,false,,,,,,,,,,,,240
194767118,194767126,68,9cabb72e928ec50d27ac06d42e8014705ee681fc,python,ok,1,python,unittest,true,false,15,0,15,0,,,,,0.3,,242
203161410,203161417,71,653ce3d9fc8827c2f6566cbf0e8e10557e04cb5a,python,ok,1,python,unittest,true,false,15,0,15,0,,,,,0.36,,246
243230473,243230478,75,26ec1dd4f485278c609b230157c37916ffa424c4,python,ok,1,python,unittest,true,false,15,0,15,0,,,,,0.13,,246
414740923,414740927,82,f9ceea3594ec68c73031616212562ff9f43b2e80,python,unknown,,python,,false,,,,,,,,,,,,250
433452605,433452608,86,05ec1708414b7440dd8391b13babde323dc8fd48,python,broken,1,python,unittest,true,false,14,0,14,0,,,,,0.1,,226
4297534,4297535,8,eb383e0fcc685f0c57f77f6108d5e59039688699,python,unknown,,python,unittest,true,false,4,0,4,0,,,,,0.01,,87
