tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
497109478,497109479,100,6705ed895182f2080d451bba10b5e60c457031bd,python,ok,10,python,unittest,true,false,24,0,24,0,,,,,26.19,,1130
524133179,524133180,107,4a5123d7017ece04444e534c5dd252455e299b99,python,ok,7,python,unittest,true,false,24,0,24,0,,,,,27.12,,1143
545890832,545890833,113,9ad984b79fe1ed786f4be8658daacad350fc48d5,python,ok,7,python,unittest,true,false,24,0,24,0,,,,,26.97,,1145
546912146,546912147,121,3ea3f838d5b40b22e684f90ee4dcc312cc99de64,python,ok,13,python,unittest,true,false,27,0,27,0,,,,,31.43,,1185
598247398,598247399,128,dc012cdd7be585b3c389b36207eb501c83dad6ca,python,ok,6,python,unittest,true,false,27,0,27,0,,,,,39.21,,1192
613988504,613988506,134,ead3744c8b185233c97aa154f103561a4a66e3c0,python,ok,6,python,unittest,true,false,27,0,27,0,,,,,31.01,,1193
662742014,662742015,140,76d326c1c50d1a35f4dce5c5a4517a996a80bb4e,python,ok,5,python,unittest,true,false,27,0,27,0,,,,,23.69,,1205
674463400,674463401,150,53ce431d0400c0a429be79a0672d6df70fc36b76,unknown,unknown,,plain,,false,,,,,,,,,,,,1219
676814815,676814816,164,a5e3525affd4466a2469dc16ec32318ee9c18478,python,ok,5,python,unittest,true,false,29,0,29,0,,,,,27.87,,1250
704893260,704893261,176,999dc9365587f0ebadd931e26f8692e98c5edb87,python,ok,5,python,unittest,true,false,31,0,31,0,,,,,31.12,,1274
749402567,749402568,188,373ba962276621a6a934b620310b048a145b8f3c,python,ok,7,python,unittest,true,false,31,0,31,0,,,,,28.24,,1277
336112466,336112467,19,3b6cde4fcbe35f378fd72ddb7a29c75e628e1da2,python,ok,4,python,unittest,true,false,17,0,17,0,,,,,19.74,,904
336253455,336253457,37,4bc885908ca1d58321202a6b142a996cf46bb68d,unknown,unknown,,plain,,false,,,,,,,,,,,,896
344888393,344888398,44,a6c3ece61bee2ee2d095057a766aa677eff22c18,python,ok,7,python,unittest,true,false,17,0,17,0,,,,,21.19,,902
356762333,356762335,51,88cfb56a55134c9f6f1e9928ddacce10816578cc,python,ok,5,python,unittest,true,false,20,0,20,0,,,,,20.19,,948
365222714,365222717,58,4b1b988c48d6c0cc6560c1361e369c0f76221715,python,broken,5,python,unittest,true,true,20,1,21,0,,,,test_metadata_disable,25.05,,967
366830950,366830952,65,79d51e1bc1abe31ad274e48fa1ed82123cc7d639,python,broken,5,python,,false,,,,,,,,,,,,1097
366910630,366910632,71,de7c7eb0d5c15d24fea8ad6ac6daa0e0f9f90b1a,python,ok,9,python,unittest,true,false,23,0,23,0,,,,,26.46,,1093
375211886,375211888,78,acf06548ecf9ff6c768f31dac65276622d1cf1c7,python,ok,6,python,unittest,true,false,23,0,23,0,,,,,32.36,,1094
391228430,391228432,84,69ee1e33f4c35939e4136bdccdfc5a6dee0f26e0,python,ok,5,python,unittest,true,false,24,0,24,0,,,,,25.07,,1113
