tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
495262517,495262519,4676,3a8126045d9ca332de3e3a94e6d3d620f6260598,generic,ok,31,plain,,false,,,,,,,,,,,,0
500051340,500051341,4679,5e2a1060bd7546d7283d8f8fb1aae2910df13f48,generic,ok,32,plain,,false,,,,,,,,,,,,0
500486753,500486755,4681,96f1f25d2035cc4598928c50054549f8930434fa,generic,ok,25,plain,,false,,,,,,,,,,,,0
501899154,501899155,4683,cfbbb1dbd3a835b1ddfa129e851797a2833676b0,generic,ok,21,plain,,false,,,,,,,,,,,,0
511651444,511651446,4687,ef6d27d51e257b52dcb8a9977a7e736a656de7d5,generic,ok,23,plain,,false,,,,,,,,,,,,0
512241447,512241448,4689,6e73d17084d078dfd0dfdb7c3389f3bc28442138,generic,ok,25,plain,,false,,,,,,,,,,,,0
512619395,512619397,4690,df4f1ae038ed0ac10fab0bcecfdb169d151923e1,generic,ok,45,plain,,false,,,,,,,,,,,,0
513125730,513125732,4693,258267f5cc33fca13231fcc975cf6f41185b6c03,generic,ok,23,plain,,false,,,,,,,,,,,,0
519765821,519765822,4696,1d16ae6a6dba0f51c60d5a4179576d2d89134160,generic,ok,20,plain,,false,,,,,,,,,,,,0
549252340,549252341,4807,c17c38ac8ddf569484cf9c0bde4702b2f2622033,python,ok,21,python,unittest,true,false,1,0,1,0,,,,,522.9,,0
563815082,563815083,5383,4fde903615bd4da1db106d41c05f14d563e3ac4f,python,ok,22,python,unittest,true,false,1,0,1,0,,,,,532.42,,0
