tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
21130200,21130201,17,5f5880b6491b2b98dac968dda8525316b61a00ec,python,ok,,python,unittest,true,false,19,0,19,0,,,,,0.24,,1387
21130200,21130202,17,5f5880b6491b2b98dac968dda8525316b61a00ec,python,ok,,python,unittest,true,false,19,0,19,0,,,,,0.46,,1387
21130548,21130549,19,5f5880b6491b2b98dac968dda8525316b61a00ec,python,ok,,python,unittest,true,false,19,0,19,0,,,,,1.09,,1387
21130548,21130550,19,5f5880b6491b2b98dac968dda8525316b61a00ec,python,ok,,python,unittest,true,false,19,0,19,0,,,,,0.48,,1387
23616433,23616434,23,0a9b0d6b6144c1e29d37924e289fb80d6d85fab4,python,ok,,python,unittest,true,false,19,0,19,0,,,,,0.21,,1388
23616433,23616435,23,0a9b0d6b6144c1e29d37924e289fb80d6d85fab4,python,ok,,python,unittest,true,false,19,0,19,0,,,,,0.17,,1388
23617621,23617622,26,e3ffb952f12c4738b7a1f537be10017228c938b4,python,ok,,python,unittest,true,false,19,0,19,0,,,,,0.22,,1387
23617621,23617623,26,e3ffb952f12c4738b7a1f537be10017228c938b4,python,ok,,python,unittest,true,false,19,0,19,0,,,,,0.49,,1387
25543214,25543215,33,675e7d8c905045edcc3c81a06e9a9088886b6211,python,ok,,python,unittest,true,false,19,0,19,0,,,,,0.19,,1396
25543214,25543216,33,675e7d8c905045edcc3c81a06e9a9088886b6211,python,ok,,python,unittest,true,false,19,0,19,0,,,,,0.3,,1396
25585594,25585595,34,675e7d8c905045edcc3c81a06e9a9088886b6211,python,ok,,python,unittest,true,false,19,0,19,0,,,,,0.78,,1396
25585594,25585596,34,675e7d8c905045edcc3c81a06e9a9088886b6211,python,ok,,python,unittest,true,false,19,0,19,0,,,,,0.76,,1396
36381666,36381667,46,79e60a795b976152156af0046f78ee28c8111b31,python,ok,8,python,unittest,true,false,19,0,19,0,,,,,0.18,,1398
36381666,36381669,46,79e60a795b976152156af0046f78ee28c8111b31,python,ok,12,python,unittest,true,false,19,0,19,0,,,,,1.0,,1398
36381722,36381723,47,79e60a795b976152156af0046f78ee28c8111b31,python,ok,17,python,unittest,true,false,19,0,19,0,,,,,0.26,,1398
36381722,36381724,47,79e60a795b976152156af0046f78ee28c8111b31,python,ok,9,python,unittest,true,false,19,0,19,0,,,,,0.2,,1398
