tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
541732616,541732617,100,7d0e41e280667c74affca97c433dc9024ceee730,python,unknown,1,python,,false,,,,,,,,,,,,1545
560013106,560013109,119,620acd28dfe8173800fea5ef83974898af881ff8,python,ok,1,python,pytest,true,false,65,0,65,0,,,,,0.54,,1550
563935864,563935866,132,25c275e360e6e45f4b790feff609cf9d987159dd,python,ok,1,python,pytest,true,false,70,0,70,0,,,,,0.57,,1706
566512989,566512992,142,f88b4a0025d66d0ede3c85cce575a8ef7a7f4f80,python,ok,1,python,pytest,true,false,75,0,75,0,,,,,0.56,,1835
571800949,571800956,161,b9ebac52761886195b68737b577aca8130a3a185,python,ok,1,python,pytest,true,false,88,0,88,3,,,,,0.79,,2075
574329529,574329531,189,0bad13cd8c93c2fbd68f27de0b886b445136e0d2,python,ok,1,python,,false,,,,,,,,,,,,2295
602784804,602784809,219,3d4cabd97e7b14ec76e52af99f924d531861102c,python,ok,1,python,,false,,,,,,,,,,,,2312
615659031,615659033,237,64badc26dfb74c0a9665f6f22b3949d30c76104f,python,ok,1,python,,false,,,,,,,,,,,,2368
617272150,617272154,252,744b1f6b2f31fa2ea6fdf002ecb2b19f3bec16dd,python,ok,1,python,,false,,,,,,,,,,,,2513
658245879,658245881,281,0bfb2ce93af44f7d0017124aca1c1cc1c0641cc5,python,broken,1,python,,false,,,,,,,,,test_min#test_max#test_min#test_max,,,2609
681589834,681589835,294,5eda1bc3db4d907315a564c864d47978c41bdf73,python,ok,1,python,,false,,,,,,,,,,,,2701
697540138,697540143,315,6f7b7156f61ea2307284a5ca508a4ac77506682c,python,ok,1,python,,false,,,,,,,,,,,,2831
352785113,352785114,37,18a34fbf8ca259da4f1d7338730a6da8e4a03f9c,python,ok,1,python,pytest,true,false,53,0,53,0,,,,,0.75,,1315
353247198,353247201,49,7397b6fa97b7baa7022dac559c579dee47bea14a,python,ok,1,python,pytest,true,false,56,0,56,0,,,,,0.58,,1408
401685787,401685790,60,99c77143b39432442fb55c8f60c61b11748532ad,python,ok,0,python,pytest,true,false,57,0,57,0,,,,,0.76,,1502
454903685,454903687,76,c94e2f02d8ef521334aa4928d9e64ccf12137776,python,ok,0,python,pytest,true,false,64,0,64,0,,,,,0.73,,1602
