tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
106022148,106022149,119,42423de248e75d97ae8493b58ac23a4341654573,python,ok,10,python,pytest,true,false,61,0,61,0,,,,,5.99,,219297
110799876,110799877,165,db6e99bf42be31a8d9c1ab0b173efac0d2ede80d,python,ok,11,python,pytest,true,true,61,2,63,0,,,,TestInfos.testMigration3to4#TestInfos.testMigration8to9,6.2,,219456
118931377,118931378,220,f2dff69817a2823f99ce5126ff9bc64cd1bc16f9,python,ok,10,python,pytest,true,true,66,5,71,0,,,,TestConfig.testMigration10to11#TestConfig.testMigration3to4#TestConfig.testMigration7to8#TestConfig.testMigration8to9#SearchTests.testIgnoreWords,7.37,,223956
125907148,125907149,264,1caabeabbef616a591c08f3365ee6bb1c4f10fa8,python,ok,9,python,pytest,true,true,68,5,73,0,,,,TestConfig.testMigration10to11#TestConfig.testMigration12to13#TestConfig.testMigration3to4#TestConfig.testMigration7to8#TestConfig.testMigration8to9,18.79,,224208
128655945,128655946,298,03f7c172db16a9719aa032c0d5798d74d108a9da,python,ok,12,python,pytest,true,true,67,9,76,0,,,,TestConfig.testMigration10to11#TestConfig.testMigration12to13#TestConfig.testMigration15to16#TestConfig.testMigration3to4#TestConfig.testMigration7to8#TestConfig.testMigration8to9#SearchTests.testDuplicateRemovalForExternalApi#SearchTests.testIgnoreWords#SearchTests.test_pick_indexers,14.05,,224448
130087520,130087522,345,bef4785fdfb93e1d5600412f81877f683702ebc1,python,ok,11,python,pytest,true,true,65,11,76,0,,,,TestApi.testGetNzbLinkAndGuidWithExternalUrlStuff#TestBinsearch.testProcess_results#TestConfig.testMigration10to11#TestConfig.testMigration12to13#TestConfig.testMigration15to16#TestConfig.testMigration3to4#TestConfig.testMigration7to8#TestConfig.testMigration8to9#SearchTests.testDuplicateRemovalForExternalApi#SearchTests.testIgnoreWords#SearchTests.test_pick_indexers,12.66,,224682
136926622,136926623,408,d61cdae9d001c7a693c33d11b3e1612074f7ba10,python,ok,12,python,pytest,true,true,78,1,79,0,,,,TestConfig.testMigration18to19,7.48,,226148
140580610,140580615,446,ab883b10f341815cff33cf58d4512048a2d3b988,python,ok,11,python,pytest,true,true,82,2,84,0,,,,TestConfig.testMigration18to19#TestConfig.testMigration18to19WithMissingComicSection,9.01,,222853
143333551,143333552,484,c4e518cfac83e6e57517d88b96c7af59d6197d39,python,ok,12,python,pytest,true,true,82,3,85,0,,,,TestConfig.testMigration18to19#TestConfig.testMigration18to19WithMissingComicSection#TestVersioning.testThatVersionAndChangelogContainSameVersion,8.97,,223131
149373089,149373090,513,d7efdd0fa5b602e729a22e06b9db6575d00b127f,python,ok,9,python,pytest,true,true,80,8,88,0,,,,TestInfos.testConvertMovie#TestInfos.testConvertTv#TestInfos.testGetMovieTitle#TestInfos.testGetMovieTitleDoesNotExist#TestInfos.testGetTvTitle#TestInfos.testGetTvTitleDoesntExist#NewznabTests.testThatShowSearchIdsAreConverted#MyTestCase.testGetMovieSearchUrls,16.2,,223494
