tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
615949908,615949909,3187,611906bf0161b7c5c4a2e09dd1fc0c68db3df5d0,cpp,broken,34,plain,,false,,,,,,,,,,,,5736
616245464,616245465,3188,611906bf0161b7c5c4a2e09dd1fc0c68db3df5d0,cpp,broken,31,plain,,false,,,,,,,,,,,,5736
616646508,616646509,3197,611906bf0161b7c5c4a2e09dd1fc0c68db3df5d0,cpp,broken,32,plain,,false,,,,,,,,,,,,5736
617174893,617174894,3203,611906bf0161b7c5c4a2e09dd1fc0c68db3df5d0,cpp,broken,33,plain,,false,,,,,,,,,,,,5736
617629100,617629103,3215,cdb46dd42328c35b0ac492883d9561b62af13842,unknown,unknown,,plain,,false,,,,,,,,,,,,5736
617631871,617631872,3222,10f3657e9c231a15815747d028f167cf0165953b,cpp,timeout,25,plain,,false,,,,,,,,,,,,5736
617694004,617694007,3225,10f3657e9c231a15815747d028f167cf0165953b,cpp,timeout,24,plain,,false,,,,,,,,,,,,5736
618165776,618165781,3230,10f3657e9c231a15815747d028f167cf0165953b,cpp,timeout,26,plain,,false,,,,,,,,,,,,5736
618441237,618441238,3238,6019229e0930e798047e60f63d9a5784a154255c,cpp,timeout,11,plain,,false,,,,,,,,,,,,4458
618456565,618456568,3239,8138075c6d44ff7001b1c3c995927c47fea4cd3b,cpp,timeout,11,plain,,false,,,,,,,,,,,,4458
618572292,618572297,3240,8138075c6d44ff7001b1c3c995927c47fea4cd3b,cpp,timeout,28,plain,,false,,,,,,,,,,,,4458
619149962,619149963,3242,b5870616a859eee88866c42473d795566e6ac181,cpp,broken,9,plain,,false,,,,,,,,,,,,4458
619210060,619210063,3243,b5870616a859eee88866c42473d795566e6ac181,cpp,broken,11,plain,,false,,,,,,,,,,,,4458
619225102,619225107,3244,df981b253e3bdf63e751d2bd5624aecfaf1d5ebb,cpp,timeout,25,plain,,false,,,,,,,,,,,,4458
619588544,619588545,3246,534135b8feae9a9deb24eb9369d3838db4be1579,cpp,timeout,12,plain,,false,,,,,,,,,,,,4458
619944496,619944499,3247,ee638299c9ea4798aaa83479a8fb3a1744195bf6,cpp,ok,8,plain,,false,,,,,,,,,,,,4465
