tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
676813559,676813560,100,92d5339d076c53fade46f917b45c7b594c442fc6,python,ok,1,python,,false,,,,,,,,,,,,1053
709833080,709833082,105,e130634fe01a1f5eacea766d57add70b75962a3d,python,ok,1,python,,false,,,,,,,,,,,,1087
736596843,736596844,110,b90d95f38a157d2d9467cbbdffd385de1afd2d39,python,ok,1,python,,false,,,,,,,,,,,,1088
761065484,761065486,115,880dd87668612983bbd555efbcdd64105f41476b,python,broken,2,python,,false,,,,,,,,,,,,1099
94426373,94426375,14,6859c02b79c89e7c829e429c78bd381f26725643,python,ok,0,python,,false,,,,,,,,,,,,439
130158860,130158862,19,8025bd6e4ab3c5fd64b02628559e75d224945470,python,ok,0,python,,false,,,,,,,,,,,,448
146389511,146389512,25,caea9b615f30fa8270f0cc50c25a6651bdbfc75f,python,ok,1,python,,false,,,,,,,,,,,,587
147795709,147795721,30,b83578e066ddcba86295676d931ff3313d138b22,python,ok,0,python,,false,,,,,,,,,,,,665
151546306,151546307,36,ffbb49f3c9167cb9d28081fb54999beaa3bb5d6c,python,ok,0,python,,false,,,,,,,,,,,,755
184504730,184504732,41,af9c893932b7a9d2ba93b259cfd4052044cb749f,python,ok,0,python,,false,,,,,,,,,,,,828
193749432,193749433,47,456ec7ac7b25c2ecbd8d2cf70426cf2be6e80bed,python,ok,0,python,,false,,,,,,,,,,,,852
218468615,218468617,52,ba98169a9f90b07593a236011895f03470ec6eba,python,ok,0,python,,false,,,,,,,,,,,,867
363982795,363982796,58,2e4aa1884e5099a5b0ba7810f789039e2e26ccdd,python,broken,1,python,,false,,,,,,,,,,,,868
427745522,427745526,62,81488f5a9d8c2f2b5c6c781ffcc7d35487df185d,python,ok,2,python,,false,,,,,,,,,,,,874
525319955,525319956,68,e31a4ce80843e10aa37f7c222f0de6c4b58db2c3,unknown,unknown,,plain,,false,,,,,,,,,,,,923
555171596,555171598,72,bafd1c454b082dc97f07234142e41eab79334c6b,python,ok,1,python,,false,,,,,,,,,,,,953
585110387,585110388,78,75e92b9a1f65081fbd677faaf1650f4b1987ae81,python,ok,1,python,,false,,,,,,,,,,,,958
600512479,600512481,82,0ca6d7495add5b0cf338ae623a52f2b8a1c2d11e,python,ok,1,python,,false,,,,,,,,,,,,983
609945293,609945294,88,d71241cfb38bcb481fc053cd3dc300d4b9821751,python,ok,1,python,,false,,,,,,,,,,,,986
624470853,624470855,92,3ed6851da14acca3e34ca4587afe05549252c0c1,python,ok,1,python,,false,,,,,,,,,,,,1007
