tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
394829902,394829903,100,926449ca07e706ce22fb2f63c56aa890c1d04fce,python,ok,0,python,,false,,,,,,,,,,,,4549
397488889,397488894,111,5b731b4c6a9eb18260c64510114fe109d3a4fd84,python,ok,0,python,,false,,,,,,,,,,,,4547
429039660,429039661,122,8d79dce1de78978b7889c508490ab441f4957a99,python,ok,2,python,,false,,,,,,,,,,,,4568
474109094,474109104,132,78afe326079e7e439fb1869a8571d84ab4dd30ac,python,ok,1,python,,false,,,,,,,,,,,,4568
493532609,493532610,143,f6a17a029e4f51447fa90400c50fe1df9bb66b83,python,ok,1,python,,false,,,,,,,,,,,,4585
548301292,548301295,153,fb5fb34470b04efe1346662616154ab2381cf4bf,python,ok,1,python,,false,,,,,,,,,,,,4596
551055495,551055506,162,750849aa060b077b897cf6925391017c3ee231fc,python,ok,1,python,,false,,,,,,,,,,,,4595
589427389,589427393,182,6a265e17dd8f28de57b823eaed71d8bfb287ef81,python,ok,1,python,,false,,,,,,,,,,,,4644
734539861,734539864,224,b7835f7ce795b31050c2695965673848c1800c8b,python,ok,1,python,,false,,,,,,,,,,,,4712
752551194,752551195,238,beb9e05591120323c615d76a58a37d7e9515c4d7,python,ok,2,python,,false,,,,,,,,,,,,4717
188978502,188978521,27,90a588e9432db9d78c73cb8d3c4d50653441baec,python,unknown,0,python,,false,,,,,,,,,,,,4090
192439983,192439988,39,993608235a238af0d0406ad7b1f3016711a23ab2,python,ok,0,python,,false,,,,,,,,,,,,4290
194826697,194826706,51,2b98a7acd9e5e53b76bd484662ac9e090194ad22,python,ok,0,python,,false,,,,,,,,,,,,4299
253303746,253303761,74,a578b9467079dea244d5f64ac4c3e2f3a3ae17b1,python,unknown,0,python,,false,,,,,,,,,,,,4424
271013043,271013053,86,8f6e3d666f3603f8d4163e5ab5ca83ceb240f49a,python,unknown,,python,,false,,,,,,,,,,,,4511
