tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
82871114,82871115,100,75aa9a2994d0b263108281301b7628c84c192cdb,python,broken,1,python,unittest,true,true,49,1,50,0,,,,test_good_config_file,1.77,,76921
114103583,114103597,133,4d4baea36e850347b41b4d13535f0d056ef56688,python,ok,1,python,unittest,true,false,54,0,54,0,,,,,2.16,,77549
124046814,124046818,165,3f56e9cd7321bc26cbef1f5066d2fa37d1bdbb57,python,ok,1,python,unittest,true,false,59,0,59,0,,,,,4.04,,73691
137263665,137263669,197,23d8e7b3551009a10842d5f1a7ce304686e6e126,python,ok,1,python,unittest,true,false,72,0,72,0,,,,,3.82,,81506
156557343,156557347,228,e8884ffc8efaf65c524813d9c2e5fcbe59d311d3,python,ok,1,python,unittest,true,false,85,0,85,0,,,,,3.47,,81958
77102099,77102103,25,4cb96a0a8c4c253761d48197d2b61311c6273356,python,ok,0,python,unittest,true,false,0,0,0,0,,,,,0.26,,75856
203572557,203572563,290,c5531312da54b2be3bc48f1680304570316b88f9,python,ok,1,python,unittest,true,false,113,0,113,0,,,,,4.96,,100558
207771061,207771063,317,bd7c136606647cf9a489a1ff0f20f0e8436100e6,python,ok,1,python,unittest,true,false,120,0,120,0,,,,,5.6,,102338
234649582,234649588,343,f23b9cd9ef6d778a4d9bb03b9304f4a15995da44,python,ok,1,python,unittest,true,false,125,0,125,0,,,,,5.96,,102537
294535352,294535356,370,8b2170d409a174bbdeaf6cf1ccafec4e8c721332,python,ok,1,python,unittest,true,false,134,0,134,0,,,,,8.51,,103283
