tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
466232882,466232883,140,d6acd8b0b9513af8b3014717283ecccc0dcb93c8,python,timeout,25,python,,false,,,,,,,,,,,,9891
485537561,485537565,166,fd004f36deec2dae2ad7c7057f96cf6af37e24f8,java,ok,1,java-maven,,false,,,,,,,,,,0,,9922
502629791,502629793,179,2d516846f29507a9665966bd811b75d5f35f8770,python,unknown,1,python,,false,,,,,,,,,,,,9932
516421251,516421252,193,26c08a0e7e30caae7f69e892315e7b7c4f01795b,python,ok,7,python,unittest,true,false,20,0,20,0,,,,,358.2,,9933
527004150,527004152,205,5e4b6c185ab722fd0104ede0377e1149ea8d6f7c,python,unknown,1,python,,false,,,,,,,,,,,,9933
562805567,562805569,234,e2f5cc45f95812d163e75b6ddb9c4661261d3bb0,python,ok,7,python,unittest,true,false,22,0,22,0,,,,,420.1,,9994
591729100,591729102,278,29e9f079855bcf1d151ad3609010c828e7e1f1fc,python,ok,7,python,unittest,true,false,22,0,22,0,,,,,447.59,,9995
423107495,423107496,2,c28157b014a10f0d7ebaf1ea95080cc62a8e66d1,python,ok,1,python,,false,,,,,,,,,,,,16636
621856420,621856421,321,b5ca3afc3f891d07f302ae90295d178b96542751,python,ok,246,python,unittest,true,false,18,0,18,0,,,,,164.81,,6462
640179281,640179282,357,09628a72c93e893706c5736b049334caee76dbd7,python,ok,33,python,unittest,true,false,18,0,18,0,,,,,190.66,,6489
652259161,652259162,391,df75099d35ab28befa5e763f155e76641c57cb1c,python,ok,38,python,unittest,true,false,18,0,18,0,,,,,197.61,,6513
434330272,434330273,72,0b39d3f6658d476f58bf9ae9679a20a1f06ed12a,python,ok,4,python,unittest,true,false,15,0,15,0,,,,,314.88,,16677
