tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
3770634,3770635,10,99b89447c63bee77be7ac7878b524491dba9a611,unknown,unknown,,plain,,false,,,,,,,,,,,,381
3772724,3772725,17,41b2bf137bdc0b3614aa4a9a9aac24a45b36849b,unknown,unknown,,plain,,false,,,,,,,,,,,,413
3783936,3783937,23,1c43a05f2f8750681a66c8bfc97b2f9893865ed5,unknown,unknown,,plain,,false,,,,,,,,,,,,451
3751715,3751716,2,c624b00b051cbe4a8e6a771061138005ee57a758,unknown,unknown,,plain,,false,,,,,,,,,,,,350
5272876,5272877,36,1c4a1723c5910f60b53927deaa5ca9086be1cb25,python,ok,,python,unittest,true,false,25,0,25,0,,,,,0.0,,520
7286373,7286374,42,c56fe73f92ba383eb6c361775ac33aac45198a63,python,ok,,python,unittest,true,false,25,0,25,0,,,,,0.01,,495
7286874,7286875,49,4c425540f940323abf155d667c0849d1fa5d7632,python,ok,,python,unittest,true,false,25,0,25,0,,,,,0.01,,495
7523661,7523662,55,0ceaab306ee19baabf4dad12ffcca11a0758b605,python,ok,,python,unittest,true,false,24,0,24,0,,,,,0.01,,497
36530386,36530387,61,247adbdcd5ebcf12b83584484e900717f709227b,python,ok,,python,unittest,true,false,26,0,26,0,,,,,0.01,,507
131939913,131939914,68,7c77c1582e21800c6205815c10409ad1907a100d,python,ok,1,python,unittest,true,false,29,0,29,0,,,,,0.01,,525
185848096,185848100,77,4b071219a0e158b7709b9eaa4d0b634dbc870daa,python,ok,0,python,unittest,true,false,29,0,29,0,,,,,0.04,,537
204236858,204236862,80,f7ef143b4afadf0c4e5487b863373357e8168f93,python,ok,0,python,unittest,true,false,29,0,29,0,,,,,0.08,,537
243338690,243338692,82,f3a0ffa03957bdf75733043f5187fc276c9d2947,python,ok,2,python,unittest,true,false,29,0,29,0,,,,,0.06,,544
246848036,246848037,84,aff0f3cb50a7d53ad55cc49841f3a8497cdce40b,python,ok,1,python,unittest,true,false,37,0,37,0,,,,,0.18,,579
246848253,246848257,85,16f674027a590cdaba93156611dfc910f2757849,python,ok,1,python,unittest,true,false,37,0,37,0,,,,,0.24,,579
256598045,256598048,87,66986b614a4fc457db3dcc7e50056d407e65862e,python,ok,0,python,unittest,true,false,37,0,37,0,,,,,0.1,,580
