tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
602780379,602780380,3199,c96cdf449a0c7ace5de33e3e49a1e7ec93cd4711,ruby,ok,5,ruby,testunit,true,false,825,0,825,0,,,,,52.96,,15425
620729261,620729265,3246,833c8500144b07232da610196ca7fff1360419e1,ruby,ok,5,ruby,,false,,,0,,,,,,,,,15866
633232386,633232390,3316,767318bc03a5005b906da2065161626deb8aaa74,ruby,ok,5,ruby,,false,,,0,,,,,,,,,16067
636438650,636438654,3393,82fbb326b086480ed2bf277eb8a8307f381ecf3d,ruby,ok,5,ruby,,false,,,0,,,,,,,,,16284
641009369,641009370,3439,4f0e07a1eec5da93259e45c84669d64efc58f159,ruby,ok,5,ruby,testunit,true,false,875,0,875,0,,,,,47.57,,16326
643783702,643783706,3480,b591f6e5e52eb1290e107ee8fee183c5be9f34f1,ruby,ok,5,ruby,,false,,,0,,,,,,,,,16379
655900050,655900052,3571,75e28c9e10ca74b3993294d14d94b0fdfd9e49de,ruby,ok,5,ruby,testunit,true,false,884,0,884,1,,,,,54.27,,16530
675230300,675230301,3704,f9d305c61be502a1797c3a9fed80c142900f05bf,ruby,ok,5,ruby,testunit,true,false,890,0,890,0,,,,,54.67,,16652
679005812,679005816,3736,f00709b297fa55c958f17e42348990d8876191cc,ruby,ok,5,ruby,,false,,,0,,,,,,,,,16718
691678924,691678928,3843,7a5753c5a15aa45007e113d70e1ab8999f3cf653,ruby,ok,5,ruby,,false,,,0,,,,,,,,,16815
712979220,712979231,3917,1e7c4be36d5d986f56fc2ba0fd8fd4e12d3f336e,ruby,ok,5,ruby,,false,,,0,,,,,,,,,17062
