tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
2478283,2478284,10,7be56fea62c01eda8bede7bec5c2f460a4a94f7f,unknown,unknown,,plain,,false,,,,,,,,,,,,1891
2478365,2478368,11,f3dca0d42c82cd190191deeaba80d3831c9601cc,unknown,unknown,,plain,,false,,,,,,,,,,,,1892
2478597,2478599,13,435289a511db6cabef998fad4fc9742ebd081e4b,unknown,unknown,,plain,,false,,,,,,,,,,,,548
112020,112021,1,71f0190f29f5178ba97debbc7e39a5f999c17101,ruby,unknown,,ruby,,false,,,0,,,,,,,,,1882
17472185,17472187,21,f0ca8b541af05a472c5cab4756008ae4995ad4a5,ruby,unknown,,ruby,,false,,,0,,,,,,,,,548
44126182,44126184,26,01fadad889c47cc5a5d2a219e7cb490ab84ea7f1,ruby,ok,0,ruby,,false,,,0,,,,,,,,,548
126126452,126126453,36,e3b84c4a038956cb2b91cf1c893f01ee9e014f56,ruby,ok,1,ruby,,false,,,0,,,,,,,,,548
267785,267787,4,ee53bf981ed419e6b4a1cc3dbc4a7deaa9b3bee7,unknown,unknown,,plain,,false,,,,,,,,,,,,1882
267809,267810,6,8c0fde10d7b65a0b2f80a8d4db80f474ed05daa6,unknown,unknown,,plain,,false,,,,,,,,,,,,1885
267824,267827,7,0bce1e88c684401424313e44b5fa313731880a51,unknown,unknown,,plain,,false,,,,,,,,,,,,1885
