tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
255080111,255080112,100,99bc3a6d35ab56bea94daf9b58a7bfb97112f58e,ruby,ok,21,ruby,rspec,true,false,38,0,38,0,,,,,9.05,,1027
284470000,284470009,155,117529606c9764b0d4014c557333db03d0d06430,ruby,broken,40,ruby,,true,false,,0,,,,,,,,,1223
397107397,397107415,187,c4747ade6e51259b1915f3984bea1e9ea3fc1fc4,ruby,ok,47,ruby,rspec,true,false,49,0,49,0,,,,,4.98,,1270
464742955,464742991,202,b027787f3ada672694a8f388f297c38e913166d5,ruby,ok,52,ruby,rspec,true,false,59,0,59,0,,,,,5.48,,1486
539802642,539802655,254,c0b7f903a192ae334d03470f3cff3c890a074e3d,ruby,unknown,47,ruby,,false,,,0,,,,,,,,,1475
556319982,556320012,277,928eb57fff4213ee9d571111811c5ade90586989,unknown,unknown,,plain,,false,,,,,,,,,,,,1688
577553107,577553132,296,573b57f64ccebdffd7b2857f9feeafd6f9aec6b0,ruby,ok,47,ruby,rspec,true,false,68,0,68,0,,,,,7.12,,1723
595336909,595336939,360,3aa7322974917b8f1b992c7024e2f77b9a80fe41,ruby,ok,48,ruby,rspec,true,false,69,0,69,0,,,,,8.7,,1712
604844388,604844408,394,c5585df0076533a8fdf754cb1ed4cc332b5cff3b,unknown,unknown,,plain,,false,,,,,,,,,,,,1759
663459838,663459849,418,993806c05adf2af6ff1b227fb1593997e94df0b2,unknown,unknown,,plain,,false,,,,,,,,,,,,1760
