tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
61361812,61361813,100,16679e5e6cab0a5841fbfd3b7201a85435282863,ruby,ok,1,ruby,,false,,,0,,,,,,,,,1987
76026769,76026773,106,408a46ca37b9a915c78d737617b406619309fe18,ruby,ok,0,ruby,,false,,,0,,,,,,,,,2029
101652092,101652098,112,17e16f3e96fe5884f92623f95dab3f527d6f5263,ruby,broken,0,ruby,,false,,,0,,,,,,,,,2028
192178513,192178516,138,b7ab1f05af2caca58110406b57fca316ecb36a4c,ruby,ok,1,ruby,,false,,,0,,,,,,,,,2079
200272855,200272857,151,4e83cf2b9730de95b55b642b3f517470f7aafbde,ruby,ok,1,ruby,,false,,,0,,,,,,,,,2082
279281921,279281928,158,138da6e799c226732b1e4a3f6f7840c470620db9,ruby,broken,1,ruby,,false,,,0,,,,,,,,,2083
279345824,279345831,166,4aea261a306164ee7ce62b551162d6f9766aebc2,ruby,broken,1,ruby,,false,,,0,,,,,,,,,2121
291216450,291216457,174,d595f37e2afcce4b4920c2797b05a8968c82b941,unknown,unknown,,plain,,false,,,,,,,,,,,,2123
301081838,301081845,182,ef01eb51ccbbdf24d7d4e9168aa0dfc472bb8b54,ruby,broken,1,ruby,,false,,,0,,,,,,,,,2123
23561205,23561206,55,a263b6f96091c6710ea636a12b2d6484da806c56,ruby,broken,,ruby,,false,,,0,,,,,,,,,1879
23601508,23601510,67,033ef3d7b1d50c6e029b464a064a195f8ba2c495,ruby,ok,,ruby,,false,,,0,,,,,,,,,1923
33221536,33221537,84,1e1637cafd32e98957c04550bfb8662b67e3fd6d,ruby,broken,,ruby,,false,,,0,,,,,,,,,1968
