tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
13657718,13657719,100,19ac812ff1ee033a4e13ba25a8da0e4b962f8b14,ruby,ok,,ruby,,false,,,0,,,,,,,,,865
27509512,27509513,104,ef18d0bbb9465f5acdc4a6438764122d8f0e5ef1,ruby,ok,,ruby,,false,,,0,,,,,,,,,878
34210308,34210310,109,cc6db2fb02a01b979ce1e584928b466342b0685c,ruby,ok,,ruby,,false,,,0,,,,,,,,,878
1678248,1678249,14,e4211e6f3d5b375b658c1dd342a6cdce69e88623,unknown,unknown,,plain,,false,,,,,,,,,,,,560
1680929,1680930,23,4d0799f5c4d5d094487ddcc274a0d5dd7b323ef4,unknown,unknown,,plain,,false,,,,,,,,,,,,613
1664979,1664980,2,eea9576a44635c965a9f641d582ded6691328957,unknown,unknown,,plain,,false,,,,,,,,,,,,466
1716667,1716669,34,140d7d86255a27918820274c3d540dc97a390739,unknown,unknown,,plain,,false,,,,,,,,,,,,627
1764866,1764868,39,aa6c8532d0ab0e3b737aebb940665273e3c2998d,unknown,unknown,,plain,,false,,,,,,,,,,,,673
1877351,1877352,44,1d8718e174449792848f07e956b64201f95477c5,unknown,unknown,,plain,,false,,,,,,,,,,,,703
2015873,2015874,49,c0a22fbb810b6b789abb874e2dfbe25f225a6901,unknown,unknown,,plain,,false,,,,,,,,,,,,739
2016216,2016218,53,267555641c86a80d4811220437b98473999b52a4,unknown,unknown,,plain,,false,,,,,,,,,,,,779
2981355,2981357,58,2ac634779e473dd4642ace0488ed84e3f373f10c,unknown,unknown,,plain,,false,,,,,,,,,,,,790
3408888,3408889,63,256101d0ff10caca43e9a968bbc18435bbd02483,unknown,unknown,,plain,,false,,,,,,,,,,,,795
5672518,5672520,77,62b5e1ce70adedf42305fc1ac4eb35f9e5c0f8cb,ruby,ok,,ruby,,false,,,0,,,,,,,,,794
6140092,6140093,86,39b288c351fe39c301bcb0ea6136b4653f24eceb,ruby,ok,,ruby,,false,,,0,,,,,,,,,832
