tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
113543752,113543753,17,f5b31478450c2511ca179bfe98eebaa9af6f4b59,ruby,ok,0,ruby,rspec,true,false,134,0,134,1,,,,,14.4,,3330
113543853,113543857,18,7bd47d5bcb9e11f3d67c4b5fe334caa6dfc0eaa6,ruby,ok,0,ruby,rspec,true,false,6,0,6,0,,,,,1.25,,3394
120743304,120743308,21,d8087965a802d198b7b811036409fd285e9d03e5,ruby,broken,0,ruby,,true,false,,0,,,,,,,,,3415
120743788,120743789,23,e4ec4e7535a273e1dce392cc14cafd37a8bd1f74,ruby,ok,1,ruby,rspec,true,false,136,0,136,1,,,,,14.9,,3416
120745019,120745023,24,a74654fa25ae3a332188020aaadb04338a7054cb,ruby,ok,0,ruby,rspec,true,false,6,0,6,0,,,,,1.36,,3515
121998915,121998918,26,8ca39796940ccbd91b2ced503bcc25af2c67c534,ruby,ok,0,ruby,rspec,true,false,6,0,6,0,,,,,1.23,,3515
122951397,122951399,28,6b9014f8e36b660fa95cc947211506a943fc403e,ruby,broken,0,ruby,,true,false,,0,,,,,,,,,3526
54609691,54609692,2,ab7db1c1e7b67a132d742ee640224055c97bba6e,ruby,ok,0,ruby,rspec,true,false,134,0,134,1,,,,,13.97,,3330
128819533,128819538,30,ad205f2f561d340ce947662291e1332380a45066,ruby,ok,0,ruby,rspec,true,false,6,0,6,0,,,,,1.86,,3527
180615657,180615658,35,f26d85fba39420b8615e835de727c84bf0adb357,unknown,unknown,,plain,,false,,,,,,,,,,,,3535
180615884,180615887,36,f26d85fba39420b8615e835de727c84bf0adb357,unknown,unknown,,plain,,false,,,,,,,,,,,,3535
333898773,333898774,38,99aa05b337ed1fca3759e85e71c4e928d3e3ff7c,ruby,ok,0,ruby,rspec,true,false,6,0,6,0,,,,,1.39,,3535
