tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
9392895,9392896,100,e927d1e59388392684eee157673ed8eff5c02770,ruby,ok,,ruby,rspec,true,false,374,0,374,0,,,,,0.54,,3196
9885284,9885285,124,560111e1d6471d7bcbe289a4180fc235d8fe2f33,ruby,ok,,ruby,rspec,true,false,157,0,157,0,,,,,8.16,,1318
10436961,10436966,139,2b26d79b15f05361766c38237d4e8d04e8b0c619,java,ok,,java-ant,,false,,,,,,,,,,,,4473
21439914,21439922,152,226ae00777eb8b7a3b8ba09c313595c2251a4222,ruby,ok,,ruby,rspec,true,false,480,0,480,0,,,,,11.73,,4498
26631982,26631989,167,100525712c4ef344b4c88c5acd48f0e5278207ed,ruby,ok,,ruby,rspec,true,false,124,0,124,0,,,,,0.09,,1167
30061093,30061099,179,ea94ad96de119af6afb571414385fe0978a9111c,java,ok,,java-ant,,false,,,,,,,,,,,,1465
30425058,30425060,192,c922c6600421963253ea6f530ed4df2a48dbdbae,java,ok,,java-ant,,false,,,,,,,,,,,,1918
30560670,30560674,204,d1a29804410e92f23f2fc33def18057bdbb8a621,java,ok,,java-ant,,false,,,,,,,,,,,,2199
30671656,30671661,217,125dbefb97e7e5b33f023569f5aedf67883a6de5,java,unknown,,java-ant,,false,,,,,,,,,,,,2588
31295590,31295591,230,970c8f2468d5c07c369471fdafc69b921ff6639a,java,ok,,java-ant,,false,,,,,,,,,,,,3092
31636928,31636930,243,5dd919b459201bc17c92bc62dbc9b183e40da766,java,ok,,java-ant,,false,,,,,,,,,,,,3727
32386984,32386987,256,55bfaa0dfa3ec0f36518aa8800847d0da264cfd2,java,broken,,java-ant,,false,,,,,,,,,,,,4490
58846396,58846399,277,ff234056e44b0854d91635716d0a28f2476cbc17,ruby,ok,0,ruby,rspec,true,false,590,0,590,0,,,,,0.23,,4613
326875863,326875874,303,fc99f555f03d20e431777f80362c4f4a45460edb,ruby,unknown,234,ruby,,false,,,0,,,,,,,,,4700
8586266,8586268,45,7c38b9eda71b71ad90b163bec8b91afb9f074009,ruby,ok,,ruby,,false,,,0,,,,,,,,,1747
9314091,9314092,63,393b2ac2a07a71f85497883a5249d99ad826bdd2,ruby,broken,,ruby,rspec,true,true,301,5,306,3,,,,,22.15,,2582
9335527,9335532,78,16754853d29414ec996ee7f3d872e8b477e633a8,java,broken,,java-ant,,false,,,,,,,,,,,,2899
