tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
15519870,15519871,149,7c2e39bb2bd6894e8a910ebf322cdcba71756fe4,ruby,ok,,ruby,,false,,,0,,,,,,,,,903
75922729,75922732,302,7760b5e61417b489b953b8c6c6f8469d27c62795,ruby,ok,0,ruby,,false,,,0,,,,,,,,,1176
84780201,84780203,335,aa20771d0e385acfbb223990529775cc9f1aff0b,ruby,ok,1,ruby,,false,,,0,,,,,,,,,1383
126979396,126979397,394,cae5dfee4efcb7a4711f047e531cdd5b3946e0fc,ruby,ok,2,ruby,,false,,,0,,,,,,,,,1489
269420040,269420042,448,fcf0007113140f787c2dad55ee0a093defdb93ee,ruby,ok,2,ruby,,false,,,0,,,,,,,,,1664
336851105,336851109,475,d9589613b40345bf20c991cfd95e484fb9eb9274,ruby,ok,2,ruby,,false,,,0,,,,,,,,,1670
366791892,366791898,501,88b33a02b8be23a16c54cb1e621253b59c6c0150,ruby,ok,9,ruby,,false,,,0,,,,,,,,,1714
420395376,420395380,551,dd556815455e2d2141e516a4ded834daf3b077cc,ruby,ok,2,ruby,,false,,,0,,,,,,,,,1808
556368064,556368065,588,712d14a609b480bad9f756033f1432fa9bcb3893,ruby,ok,8,ruby,,false,,,0,,,,,,,,,1848
577669318,577669321,606,121b264171fc56a4e53a71bad1d07fe3da907c07,ruby,ok,3,ruby,,false,,,0,,,,,,,,,1852
603123823,603123826,623,3b6314d21e08bffa04c2148d1afafe9f98f56d9a,ruby,ok,3,ruby,,false,,,0,,,,,,,,,1872
752586457,752586464,639,c8b2114d39c0d7facffb24f35cef87a49b0b1dd1,ruby,ok,3,ruby,,false,,,0,,,,,,,,,1872
