tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
14348702,14348703,100,4a37ff4fddd4c7b99e25672300a1a7efaf8c7ef3,ruby,ok,,ruby,rspec,true,false,51,0,51,0,,,,,8.24,,3545
15019034,15019036,124,de6545d37357d2d9cec033a7442bff01b164ead1,ruby,ok,,ruby,rspec,true,false,51,0,51,0,,,,,0.73,,3607
16050515,16050518,148,80377b46659a39122cd09f2974f97a5cbfc62f12,ruby,ok,,ruby,rspec,true,false,55,0,55,0,,,,,2.26,,3814
16683324,16683325,181,280f64c6e1237d2f68439b537b58bb7d616378d7,ruby,ok,,ruby,rspec,true,false,58,0,58,0,,,,,1.71,,4077
17357349,17357351,195,d7d976c7699ec7f04cd2bead170dd5d83fc15271,ruby,broken,,ruby,rspec,true,true,58,1,59,0,,,,,1.09,,4085
18146979,18146982,207,ddacb780d184bf91e9db0e20798b3fa5465e6d6e,ruby,ok,,ruby,rspec,true,false,61,0,61,0,,,,,0.79,,4193
20295339,20295343,219,8e0c305ca473f19031ce7a47a447c3159c115393,ruby,ok,,ruby,rspec,true,false,62,0,62,0,,,,,5.75,,4209
25006035,25006037,252,28b92549cb08b87afa82c62fd2c36629095da1be,ruby,ok,,ruby,rspec,true,false,63,0,63,0,,,,,2.65,,4531
38628767,38628771,278,015ef663bd0bb1381c579e7d7419fb6dc27dc1f6,ruby,ok,,ruby,rspec,true,false,67,0,67,0,,,,,3.84,,4601
56641495,56641500,290,b982f4aecaf5e15e36298bcc9f5359aaa54ff48a,ruby,ok,2,ruby,rspec,true,false,67,0,67,0,,,,,3.32,,4709
11670708,11670711,2,9aca5074b71328f5021dda1bbde37d6907c89cd7,java,ok,,java-ant,,false,,,,,,,,,,,,2669
86532380,86532382,310,00b1a2d1d429f02065adcf7824890380587ed541,ruby,ok,1,ruby,rspec,true,false,74,0,74,0,,,,,2.54,,4894
90847543,90847554,320,6ce4b8ccf03ef1df7fc9e3ae71d46df36187e971,ruby,ok,1,ruby,rspec,true,false,74,0,74,0,,,,,4.17,,5118
92571409,92571413,330,351fb7fba49c394fd6d195e64acb9976fe625bb1,ruby,ok,1,ruby,rspec,true,false,74,0,74,0,,,,,2.14,,5328
105323991,105323994,340,2781eb3eb422c4aeafd06e8b7a897d4ad2d6e31b,ruby,ok,2,ruby,rspec,true,false,74,0,74,0,,,,,2.99,,5552
327451198,327451200,350,4d18b1a8b126a0875e4d2df49926ead961a67cee,ruby,ok,2,ruby,rspec,true,false,74,0,74,0,,,,,3.59,,5658
12911514,12911516,37,883f751df0050dba65555f9fa2897fedc6dbe879,ruby,ok,,ruby,rspec,true,false,49,0,49,0,,,,,5.4,,2884
14106466,14106469,83,e4531479a4e779f7d17d0efa7926c175d61f6dd4,java,ok,,java-ant,,false,,,,,,,,,,,,3532
