tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
137619602,137619603,100,7da7bb11f55e99e58376f913e9cad7a83138392a,ruby,ok,2,ruby,rspec,true,false,61,0,61,0,,,,,0.05,,768
155115793,155115794,108,8c65cc76b9c58bda72554304407b848e22358282,ruby,ok,2,ruby,rspec,true,false,73,0,73,0,,,,,0.06,,864
162022560,162022562,117,4d65df8c15eabe235201182b99a37f880c861fce,ruby,ok,6,ruby,rspec,true,false,65,0,65,0,,,,,0.06,,810
241390126,241390128,140,b46cb90d3bdd5112d8ae42d9a94ce23ae640b8b1,ruby,ok,5,ruby,rspec,true,false,65,0,65,0,,,,,0.05,,810
449497448,449497450,168,04e8dc8094f874d9b89b45bc5e75b311423b2bdb,ruby,ok,2,ruby,rspec,true,false,72,0,72,0,,,,,0.05,,854
499895704,499895705,181,2698c91539cfb868790e8bb7d5d4d8cf78f0bbfc,ruby,ok,4,ruby,rspec,true,false,74,0,74,0,,,,,0.07,,869
556384635,556384638,193,c38462855747b62607b8475d9b45c4cfd92ba66b,ruby,ok,2,ruby,rspec,true,false,76,0,76,0,,,,,0.09,,895
678658723,678658725,218,97475a16473e98bca0fbaf12280158270b5597a3,ruby,ok,2,ruby,rspec,true,false,78,0,78,0,,,,,0.07,,912
714592723,714592726,226,6b42d17781a55d4fbf992ea25e6f6e742a049cef,ruby,ok,2,ruby,rspec,true,false,78,0,78,0,,,,,0.06,,961
731608766,731608770,237,62874be71d74380d252c73409dd81da08b021497,ruby,ok,1,ruby,rspec,true,false,78,0,78,0,,,,,0.06,,961
30540190,30540192,42,34d617aa830f6a56c120ed26dc7a29b0b98667cd,ruby,ok,,ruby,rspec,true,false,32,0,32,0,,,,,0.05,,357
122598149,122598155,84,69da0f4a97ea2eb5370cf506026499f4e8fbeec2,ruby,unknown,2,ruby,,false,,,0,,,,,,,,,734
123972978,123972979,92,21c88f7903837443d9e0fff2e83e7d9e5cb215dd,ruby,ok,2,ruby,rspec,true,false,57,0,57,0,,,,,0.04,,735
