tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
490940,490941,100,b2c36de84ea1310dc8bc5360a83cc1bdfb4d32cf,unknown,unknown,,plain,,false,,,,,,,,,,,,18988
653877,653880,114,96a6dd565dd99412a802319f45c1bb01f73a7b59,unknown,unknown,,plain,,false,,,,,,,,,,,,19033
746812,746817,128,d6ac5f867396cfdd499eab1c434bc80c6d3228f0,unknown,unknown,,plain,,false,,,,,,,,,,,,19063
2206291,2206295,197,2e255ebcddcb715be3f490e99ca6cb34bd550152,unknown,unknown,,plain,,false,,,,,,,,,,,,18681
2257110,2257114,218,8260cc4982aac9c054977469f47ede61cd75a717,unknown,unknown,,plain,,false,,,,,,,,,,,,18882
4129010,4129011,246,c9a0c9bf28f0da98e8dd34adb9237c0aa892a168,unknown,unknown,,plain,,false,,,,,,,,,,,,16417
4726817,4726819,298,691d714526982c3908bc39b3d64d75a404c20a72,java,unknown,,java-ant,,false,,,,,,,,,,,,15592
4903920,4903926,318,2058f286a4eb25fd78f46cd25ae0ad142561ddb2,java,unknown,,java-ant,,false,,,,,,,,,,,,15634
9752442,9752448,335,5af775c5760330feaf27a1fc1fcbd016816b63f9,java,unknown,,java-ant,,false,,,,,,,,,,,,15705
10754068,10754074,351,b414dbc8301bea91712e90a80e44bb0777225e8e,java,unknown,,java-ant,,false,,,,,,,,,,,,15763
11612204,11612209,384,88d53027bca28426752042e4673c6ae7a87bd40e,java,unknown,,java-ant,,false,,,,,,,,,,,,15801
11824490,11824492,413,9c92d9c2626231a001130645fcaeddfbfc5a3bfd,java,broken,,java-ant,,false,,,,,,,,,,,,15774
19155141,19155146,444,a6e5bfcc1c579967d77e9cfc7ef9fc5aaeded8f0,java,broken,,java-ant,,false,,,,,,,,,,,,15889
71586413,71586415,456,825dad8a0c7722ad20dd87912fa1f9d946666c1d,ruby,unknown,0,ruby,,false,,,0,,,,,,,,,15863
518802773,518802780,507,095b5372d16dd3ed26c68a27e0f58596dc8e6a50,unknown,unknown,,plain,,false,,,,,,,,,,,,16001
559127399,559127401,530,d3a0b43a4e40c0b6512573d100d757c1f01bc4a3,ruby,unknown,2,ruby,,false,,,0,,,,,,,,,18726
283156,283160,65,fe287150a17eb015c9c326f88308b8bfd5817c5c,unknown,unknown,,plain,,false,,,,,,,,,,,,18985
457140,457146,79,bf356f33ee44d8b02b0ea8d88b94bad353278089,unknown,unknown,,plain,,false,,,,,,,,,,,,18985
