tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
43650832,43650833,1002,058acf9e02f4383580a7d542d8d5e382e0855c06,ruby,ok,7,ruby,rspec,true,false,821,0,821,0,,,,,0.53,,3862
60443449,60443455,1111,1135462fe1303996c959679be5e4ce3b651f66fb,ruby,ok,8,ruby,rspec,true,false,827,0,827,0,,,,,0.76,,3925
83340658,83340661,1235,6d02d130fe3378bf971a1343ee68039e5aaf94b7,ruby,ok,6,ruby,rspec,true,false,838,0,838,0,,,,,0.69,,3922
88928301,88928304,1273,93f1042885619b13d49f7cf9144cf918a60aabdf,ruby,ok,5,ruby,rspec,true,false,843,0,843,0,,,,,0.63,,3965
101324764,101324772,1353,fc6f4020fc2a4608450f361aad14946cc4cff9e6,ruby,ok,4,ruby,rspec,true,false,858,0,858,0,,,,,0.77,,3962
102675591,102675596,1383,40aa99589851b2141023d5d6e759d4384f58b919,ruby,ok,14,ruby,rspec,true,false,858,0,858,0,,,,,6.63,,3969
151258940,151258948,1428,923fd4e577677d383216d576de45c4ede0667841,ruby,ok,18,ruby,rspec,true,false,916,0,916,0,,,,,4.48,,4031
168477900,168477901,1461,72e5ac5cf095ba942e11f7e6040ea4083941b197,ruby,ok,2,ruby,rspec,true,false,920,0,920,0,,,,,0.8,,4087
290272369,290272377,1586,2938e4d21d8414ad5bb9471f864e71168a8c246b,ruby,ok,51,ruby,rspec,true,false,978,0,978,0,,,,,0.63,,4506
626482643,626482652,1727,23e4b638a4a01cf9be978b7962786499f9e13a21,ruby,ok,1,ruby,rspec,true,false,1004,0,1004,0,,,,,0.63,,4468
677040457,677040466,1756,b8bd3e1459a576f8107893226b10d2be6aefbb4e,ruby,ok,1,ruby,rspec,true,false,1011,0,1011,0,,,,,0.64,,4617
387813701,387813732,131,ce6658d958833710805428c92abf69b0c1f8df2f,ruby,ok,12,ruby,testunit,true,false,72,0,72,0,,,,,13.14,,1478
576195716,576195745,178,9e240b9e82126f523c5cfd0d75831b30f3facaf6,ruby,ok,9,ruby,testunit,true,false,76,0,76,0,,,,,16.43,,1578
601196273,601196304,194,c990349b3458bda7900b1c6bb5fc720edeb4d9e5,unknown,unknown,,plain,,false,,,,,,,,,,,,1663
143026713,143026736,47,8df82c4af50725282a7b66bdb36dc2ae3ddcbe55,ruby,ok,1,ruby,,false,,,0,,,,,,,,,1375
143224546,143224580,59,50bafb01ccdc3d804bca0e3bc81659f655d2ec7b,ruby,ok,7,ruby,testunit,true,false,72,0,72,0,,,,,12.96,,1425
33543622,33543628,7,d5c17ad94757e9919efdef38187d0bb3e27f52d4,unknown,unknown,,plain,,false,,,,,,,,,,,,1291
33544213,33544223,8,c6d7c28b79fef3bb846b1d8138e4674ff25c6205,ruby,broken,,ruby,,false,,,0,,,,,,,,,1291
521686032,521686033,152,b4b9d390084c1611eb364e1c516d8f4e9da92c00,ruby,unknown,1,ruby,,false,,,0,,,,,,,,,432
560932576,560932577,220,1f525edb9d0376bb41f00ff2de50de66742009ed,unknown,unknown,,plain,,false,,,,,,,,,,,,226
563576096,563576097,238,0b289ccc689cc82c19fd4b3c12769ee887e369ae,unknown,unknown,,plain,,false,,,,,,,,,,,,248
568906300,568906301,272,fa1576651e3019edad71c92d0191b62fd8763956,ruby,unknown,1,ruby,,false,,,0,,,,,,,,,268
460714032,460714033,28,b6d97a0c561a4c7485155db930148999ead688fb,ruby,unknown,0,ruby,,false,,,0,,,,,,,,,166
600693164,600693165,359,3a4d9b520c98020a09f4110fcc95cce8e7d136ce,unknown,unknown,,plain,,false,,,,,,,,,,,,268
515086497,515086498,1182,e10c3c9405067e47f8115c4f94400709a8650bbc,ruby,ok,10,ruby,,false,,,0,,,,,,,,,4176
515086600,515086604,1183,e10c3c9405067e47f8115c4f94400709a8650bbc,ruby,ok,10,ruby,,false,,,0,,,,,,,,,4176
520464618,520464625,1192,61bfbc15eeb6303029e00b44e1f7e5bbb9ddad42,ruby,ok,10,ruby,,false,,,0,,,,,,,,,4202
520464687,520464697,1193,61bfbc15eeb6303029e00b44e1f7e5bbb9ddad42,ruby,ok,8,ruby,,false,,,0,,,,,,,,,4202
638475322,638475335,1276,5ce3666a0ccfc8f07ee6f3842ff704ad2531e5f5,ruby,ok,9,ruby,,false,,,0,,,,,,,,,4229
638475532,638475548,1278,5ce3666a0ccfc8f07ee6f3842ff704ad2531e5f5,ruby,ok,9,ruby,,false,,,0,,,,,,,,,4229
662774787,662774809,1326,7bf836c5af9f666368e2d11fe2f4c81dd35570c8,ruby,ok,10,ruby,,false,,,0,,,,,,,,,4389
687158914,687158933,1339,d56d79da2f7902e80830bda6f26925d464ed15fe,unknown,unknown,,plain,,false,,,,,,,,,,,,4389
687159399,687159410,1342,d284e87464a3e2e2f09fb10d011d149c80eb5f52,ruby,ok,10,ruby,,false,,,0,,,,,,,,,4389
707404908,707404910,1357,7bf836c5af9f666368e2d11fe2f4c81dd35570c8,ruby,ok,10,ruby,,false,,,0,,,,,,,,,4389
707404908,707404981,1357,7bf836c5af9f666368e2d11fe2f4c81dd35570c8,ruby,ok,32,ruby,,false,,,0,,,,,,,,,4389
749330182,749330245,1518,f0fbe69249d2e8242c060ce495353b0799472eb7,ruby,ok,19,ruby,,false,,,0,,,,,,,,,4847
749330283,749330317,1519,f0fbe69249d2e8242c060ce495353b0799472eb7,ruby,ok,9,ruby,,false,,,0,,,,,,,,,4847
751943432,751943437,1565,f804a26fd41ddb5b9faa51cb6b7744afc3a0a005,unknown,unknown,,plain,,false,,,,,,,,,,,,4851
751943432,751943508,1565,f804a26fd41ddb5b9faa51cb6b7744afc3a0a005,unknown,unknown,,plain,,false,,,,,,,,,,,,4851
751943648,751943697,1567,b6012b1b0ab79638e5ca556817ff6d61087eb7a7,ruby,ok,25,ruby,,false,,,0,,,,,,,,,4857
751943762,751943784,1568,b6012b1b0ab79638e5ca556817ff6d61087eb7a7,ruby,ok,9,ruby,,false,,,0,,,,,,,,,4857
736688123,736688124,1001,beb3f8af2881b024559a0e55bcf34f14c6eb0238,ruby,ok,4,ruby,rspec,true,false,246,0,246,0,,,,,3.81,,4583
739659641,739659652,1004,3300cc1308a9bb3a7be82ecff9b83d6f8ea98ecc,ruby,broken,4,ruby,rspec,true,true,138,108,246,0,,,,,3.87,,4583
741414579,741414604,1007,f87b7026638fc8fd38cf9848b5fee3de04ae9640,ruby,broken,4,ruby,rspec,true,false,0,0,0,0,,,,,0.0,,4581
742149232,742149249,1012,928bd1aebbe1f341756cdb11e9aab0d8a08ec793,ruby,broken,4,ruby,rspec,true,true,138,108,246,0,,,,,4.11,,4581
743639760,743639763,1015,39ca47f5452ebea9bd0fbd6af73f477958153817,ruby,ok,4,ruby,rspec,true,false,246,0,246,0,,,,,4.45,,4579
744034434,744034447,1017,bc57767f02740d1ce6c08ecdfe9ec11be99d48bc,ruby,ok,4,ruby,rspec,true,false,246,0,246,0,,,,,3.64,,4579
746116221,746116261,1019,59529cd64592343bb3197e3a706fda90edc53543,ruby,broken,4,ruby,rspec,true,true,241,5,246,0,,,,,20.95,,4579
749121963,749121972,1023,b65825657306cd70840280b26743219023ca4d33,ruby,ok,4,ruby,rspec,true,false,246,0,246,0,,,,,3.9,,4579
750109245,750109252,1025,7eb0a3c4e86e29c1774367f3724a8e10d2d8332c,ruby,ok,4,ruby,rspec,true,false,246,0,246,0,,,,,0.66,,4579
750710701,750710706,1027,463398bb66f6d8277353cc8049a29bde230b0f74,ruby,ok,4,ruby,rspec,true,false,246,0,246,0,,,,,4.53,,4579
751495184,751495187,1029,982eafb7bbbcf31b2aa9513d5229b4d41e5c43cc,ruby,broken,4,ruby,rspec,true,false,0,0,0,0,,,,,0.0,,4579
751496987,751496988,1031,69bacdf4f1648fbf72195680ba2358bc8ce2edb9,ruby,ok,4,ruby,rspec,true,false,246,0,246,0,,,,,4.3,,4579
752454821,752454822,1033,d298a2fccb498e68c59d5ffe8a3e8760b694b02b,ruby,broken,4,ruby,rspec,true,false,0,0,0,0,,,,,0.0,,4579
753822184,753822186,1035,d298a2fccb498e68c59d5ffe8a3e8760b694b02b,ruby,broken,4,ruby,rspec,true,false,0,0,0,0,,,,,0.0,,4579
754903676,754903682,1037,d298a2fccb498e68c59d5ffe8a3e8760b694b02b,ruby,broken,4,ruby,rspec,true,false,0,0,0,0,,,,,0.0,,4579
755976533,755976534,1039,ef12d2ea9c586d266d10a636814bb809726f6d6e,ruby,broken,4,ruby,rspec,true,false,0,0,0,0,,,,,0.0,,4579
757848069,757848070,1041,0df2e130175525dc75ca8a731926201657e5ebbf,ruby,ok,4,ruby,rspec,true,false,246,0,246,0,,,,,4.36,,4579
759888248,759888249,1043,0df2e130175525dc75ca8a731926201657e5ebbf,ruby,broken,5,ruby,rspec,true,false,0,0,0,0,,,,,0.0,,4579
733046372,733046374,995,bad7e7ebb802a5c4b286d87069a8e2da2bba3d0f,ruby,ok,1,ruby,rspec,true,false,246,0,246,0,,,,,4.63,,4583
23473919,23473920,1,105cd24340b1d28c4c396775b3b1443aa44aa0bd,ruby,unknown,,ruby,,false,,,0,,,,,,,,,289
