tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
15088031,15088032,100,ed21234f9d0556e8b4cd373c936a565f716bb312,ruby,ok,,ruby,,false,,,0,,,,,,,,,525
16791150,16791155,112,f14d60a85bbf2da17b556a844ac4641359af83e8,ruby,broken,,ruby,,false,,,0,,,,,,,,,558
37428908,37428915,123,01348f372678f55d0d7560d13827d18d16a7635f,ruby,ok,,ruby,,false,,,0,,,,,,,,,560
60101989,60101994,134,0b5b44e7b06ad7495be416213c0dff1fc3e6f5a8,ruby,ok,0,ruby,,false,,,0,,,,,,,,,580
118970453,118970456,155,bf8da79c2a221af35988add3f649d3f1830a8449,ruby,ok,4,ruby,,false,,,0,,,,,,,,,580
221656108,221656111,176,9cb64c2b88eb2aa058380bf03e07d54072a124ca,ruby,ok,4,ruby,,false,,,0,,,,,,,,,595
324100420,324100425,188,cacfc3df2abfb87bbd77f4727aa8a46ae0d435b0,ruby,ok,3,ruby,,false,,,0,,,,,,,,,646
533667069,533667072,227,45946709fd8e63c7cc7e1123660a19dec44c5670,ruby,ok,4,ruby,,false,,,0,,,,,,,,,675
638836399,638836402,241,8522b46c0fe793eefe74d6e7da83ba0e3fb2f5cd,ruby,ok,4,ruby,,false,,,0,,,,,,,,,685
667984159,667984163,248,07043170e9b569482da6ab0f2b2c35f5175f2268,ruby,ok,4,ruby,,false,,,0,,,,,,,,,685
753050488,753050495,255,8703fd70f85ac1c31dcde30a543e6ae21e221122,ruby,ok,4,ruby,,false,,,0,,,,,,,,,685
4651699,4651700,66,cda25ff33d8b4f844d69e1e21e9d049eafc4a3fa,unknown,unknown,,plain,,false,,,,,,,,,,,,372
7015502,7015505,81,1da19a8ab797a79e655f7751220fbfdc7f471b01,java,ok,,java-ant,,false,,,,,,,,,,,,394
