tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
107086,107087,254,823311118f0f565a6a53d769de9f23d2b14594d2,ruby,unknown,,ruby,rspec,true,true,193,1,194,1,,,,,391.51,,12106
292828,292830,477,a4215a5962fc4cf558e3d41ab63edab8417d12bc,unknown,unknown,,plain,,false,,,,,,,,,,,,15336
362753,362756,568,f3eebb4ba2b2f4b405d84995c7a40d8000d1453c,unknown,unknown,,plain,,false,,,,,,,,,,,,17183
420245,420253,597,014a60e41f57730b2f2521ee62e92ac91b1e5fb9,unknown,unknown,,plain,,false,,,,,,,,,,,,17690
446679,446690,621,b25658d8c4f7729e343ba337ab9e83494993baca,unknown,unknown,,plain,,false,,,,,,,,,,,,18000
472519,472529,638,ba42a299fe73c9685e9eda46f4e54f19277276fb,unknown,unknown,,plain,,false,,,,,,,,,,,,18306
516270,516287,655,da2c0d3497b02ff043d9c8587d6930fe2e71f732,unknown,unknown,,plain,,false,,,,,,,,,,,,18549
538887,538895,672,6df5f50352b7f79acd008b3770552a91e795ac8a,unknown,unknown,,plain,,false,,,,,,,,,,,,18746
629337,629344,689,3e3c6be8508e5a635bf249fb975052926f997142,unknown,unknown,,plain,,false,,,,,,,,,,,,18983
725488,725494,706,7d13be4c0c96d198a7ee1ac2c6810de497bcaf48,unknown,unknown,,plain,,false,,,,,,,,,,,,19058
1079120,1079125,723,6f3dbbe3597a8ebcec0d5f1310319bdc7a069a2c,unknown,unknown,,plain,,false,,,,,,,,,,,,19813
1134264,1134270,739,033f6f0f4fe5b5c6134c07679d0ab83786f59272,unknown,unknown,,plain,,false,,,,,,,,,,,,19993
1152569,1152572,754,14bfa10f933f8f73457870b3f687fbb6383acfe6,unknown,unknown,,plain,,false,,,,,,,,,,,,20104
1352469,1352485,768,dd30f69c0b346191dd610d132896b36206379713,unknown,unknown,,plain,,false,,,,,,,,,,,,20127
1387590,1387603,783,2da464f1e34c41e1c61203cb6e875976fee3930e,unknown,unknown,,plain,,false,,,,,,,,,,,,20389
1440880,1440890,798,02f41df0c2c4091326fc2ccaba373ec8aac96445,unknown,unknown,,plain,,false,,,,,,,,,,,,20462
1707007,1707014,813,785e63ce6e04b0d558a29ff157eebf0ad04a7e76,unknown,unknown,,plain,,false,,,,,,,,,,,,19834
1822492,1822496,828,ce92692b388e19f3f85af5bec72a526b0d5f8ddf,unknown,unknown,,plain,,false,,,,,,,,,,,,20171
1967710,1967711,843,eb98cf3c21a1b05c54d04baaac347b863ccf0c9b,unknown,unknown,,plain,,false,,,,,,,,,,,,20307
2073190,2073194,888,4c4880b6b42d9db8274d805137ecd32c46fb132f,unknown,unknown,,plain,,false,,,,,,,,,,,,19658
