tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
111808899,111808900,100,774d22715b1bc351f852d6d4fccb34938c4f366b,ruby,ok,0,ruby,,false,,,0,,,,,,,,,1250
184261086,184261126,114,68d096b4bea9a323a7d3e35a08e33c41c0f03a8c,ruby,ok,1,ruby,,false,,,0,,,,,,,,,1274
205175434,205175441,126,70df5a8754eada88a93504a46bd62334f2304377,ruby,ok,0,ruby,,false,,,0,,,,,,,,,1298
318313727,318313728,184,88fdf074daca171e52ba3c6ab88c0700aac801d2,ruby,ok,0,ruby,,false,,,0,,,,,,,,,1106
383487229,383487235,218,49983669cd0a02ff6c09280057011a5d4dbaad60,ruby,ok,0,ruby,,false,,,0,,,,,,,,,1117
438363109,438363118,234,8e07483bb32a7d2db9467a4692f367f83b992110,ruby,ok,0,ruby,,false,,,0,,,,,,,,,1153
459282154,459282165,258,b645d029ca0fff103e1671b2a437c39fc11a6abc,ruby,ok,0,ruby,rspec,true,false,77,0,77,0,,,,,2.79,,1152
469579442,469579453,287,8552aac5534e5cf5ce104476408404894337e045,ruby,ok,2,ruby,rspec,true,false,77,0,77,0,,,,,2.53,,1357
503031150,503031165,306,3a0441bba233138b54c874a62c5f54d0b57257fa,ruby,ok,1,ruby,rspec,true,false,77,0,77,0,,,,,2.73,,1357
535373465,535373483,326,9eadb27d9f0b9e0d25b3b79e2dec0c600d586bd7,ruby,ok,1,ruby,rspec,true,false,77,0,77,0,,,,,2.24,,1354
583253276,583253287,342,9eadb27d9f0b9e0d25b3b79e2dec0c600d586bd7,ruby,ok,1,ruby,rspec,true,false,77,0,77,0,,,,,2.32,,1354
598234028,598234061,365,bde7dd3ca58c67a5fe16e1ba9f72666e3bfb7b0a,ruby,ok,1,ruby,rspec,true,false,77,0,77,0,,,,,2.42,,1344
642971542,642971547,380,bde7dd3ca58c67a5fe16e1ba9f72666e3bfb7b0a,ruby,ok,1,ruby,rspec,true,false,77,0,77,0,,,,,2.33,,1344
683467790,683467801,397,bde7dd3ca58c67a5fe16e1ba9f72666e3bfb7b0a,ruby,ok,1,ruby,rspec,true,false,77,0,77,0,,,,,2.08,,1344
714882251,714882270,410,bde7dd3ca58c67a5fe16e1ba9f72666e3bfb7b0a,ruby,ok,0,ruby,rspec,true,false,77,0,77,0,,,,,0.8,,1344
737472364,737472375,430,864bfc432a07f65f9bc6512aae8cb715adc08f3e,ruby,ok,0,ruby,rspec,true,false,77,0,77,0,,,,,2.1,,1344
28743043,28743044,53,4bd90ed62b2e1b8699aedd88f7c733c629117eea,ruby,ok,,ruby,,false,,,0,,,,,,,,,912
