tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
204356729,204356730,100,ab07d1fe212ccf6f73aa66369114cb4c49b7408a,ruby,ok,2,ruby,,false,,,0,,,,,,,,,844
317991433,317991435,135,35d365565f2097165f6bd38447d2ba35ffc4e926,ruby,ok,6,ruby,,false,,,0,,,,,,,,,864
373434713,373434717,148,c4ffaf827c989dee4a1dc6897fbe086bec34a847,ruby,ok,13,ruby,,false,,,0,,,,,,,,,870
37261245,37261248,15,8c2258a7478cfe4f838f47d211765fe8f9d1bb57,ruby,ok,,ruby,,false,,,0,,,,,,,,,603
693991785,693991786,180,12a7dc4268230d537dae71a09441a893d0038711,ruby,unknown,1,ruby,,false,,,0,,,,,,,,,925
711018842,711018845,196,c57b07dc8503a65f972c656406d166256ba9df1f,ruby,ok,1,ruby,,false,,,0,,,,,,,,,1006
741810282,741810284,203,cb3a8cbeeb3fd38e2c8d6fc742cbf0da95f0c6f1,ruby,ok,1,ruby,,false,,,0,,,,,,,,,1007
756819538,756819543,210,ddf9f25cef7e81ad0bab37f370aa963cd0cebd88,unknown,unknown,,plain,,false,,,,,,,,,,,,1009
760801419,760801427,217,e72139ae17e9f28bbcd940ff81bb12d17f3e1938,ruby,ok,1,ruby,,false,,,0,,,,,,,,,1012
52574378,52574380,36,a63c1d34d47ffa767fd3efd2937eec69bd24ac13,ruby,unknown,0,ruby,,false,,,0,,,,,,,,,692
109073464,109073466,63,717c15d776ca19450e4cb205a8edae42ae8e03f3,ruby,ok,1,ruby,,false,,,0,,,,,,,,,827
118293792,118293794,74,c5cf98f54e0f78f2d1e5332ce6ff41d4cba2392a,ruby,ok,1,ruby,,false,,,0,,,,,,,,,787
172893415,172893418,85,b9453d773335f63a8cec6ffb99c122c61c8b0590,ruby,ok,1,ruby,,false,,,0,,,,,,,,,800
