tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
10231733,10231734,221,7619cb9e42ecd21e6a184bfa13661cec3d721bb5,ruby,broken,,ruby,,false,,,0,,,,,,,,,11783
10835885,10835887,255,adeab88fe422abc3576e2f3421bdf48b1dd71d5e,ruby,ok,,ruby,,false,,,0,,,,,,,,,11814
13201615,13201616,334,628df59cde640295fc7fec1e87e0e3e10bba9552,ruby,broken,,ruby,,false,,,0,,,,,,,,,11831
13201640,13201642,336,628df59cde640295fc7fec1e87e0e3e10bba9552,ruby,ok,,ruby,,false,,,0,,,,,,,,,11831
14925492,14925494,380,5cc075a85334b2ded420286c7139538599578f9d,ruby,ok,,ruby,,false,,,0,,,,,,,,,12281
15757822,15757823,394,69ec7c32f708e6bc707213a74350503893ac0cd4,ruby,ok,,ruby,,false,,,0,,,,,,,,,12496
18344273,18344275,429,53875d6c05110666f6bf694a8e81b2f12aacd3c8,ruby,ok,,ruby,,false,,,0,,,,,,,,,12538
21257804,21257807,480,9aa6b930c00b583641439834551dcae3491cebc4,ruby,ok,,ruby,,false,,,0,,,,,,,,,12455
21257824,21257828,482,9aa6b930c00b583641439834551dcae3491cebc4,ruby,ok,,ruby,,false,,,0,,,,,,,,,12455
22751752,22751753,527,021db8cd37e1ed595703a109e1029a8e93721324,ruby,ok,,ruby,,false,,,0,,,,,,,,,12495
25506160,25506162,558,6b3162ec19be5eacf5e84e8022215340bbf0015e,ruby,ok,,ruby,,false,,,0,,,,,,,,,12527
29193978,29193979,572,7cfef04e223cedef20f96f375d648065c31ccff1,ruby,ok,,ruby,,false,,,0,,,,,,,,,12549
29193984,29193987,573,7cfef04e223cedef20f96f375d648065c31ccff1,ruby,ok,,ruby,,false,,,0,,,,,,,,,12549
37221350,37221352,625,36c79336bbd1c3bb7df1efb80bb6415aa54b6e4e,ruby,ok,43,ruby,,false,,,0,,,,,,,,,12788
50531037,50531038,713,dc2f80f4ef71bfcb8a518f617555ab0f6c3af285,ruby,ok,17,ruby,testunit,true,false,50,0,50,1,,,,,0.98,,12991
50531112,50531115,715,dc2f80f4ef71bfcb8a518f617555ab0f6c3af285,ruby,ok,24,ruby,testunit,true,false,50,0,50,1,,,,,1.13,,12991
67018230,67018232,761,f11e5a38ec6031c6bba6d2c81829be230ef29fbe,ruby,ok,15,ruby,testunit,true,false,54,0,54,1,,,,,1.38,,12635
67330701,67330702,766,0b4cde3b6833013536ed03f258fa214712d8e32b,ruby,ok,26,ruby,testunit,true,false,51,0,51,1,,,,,3.18,,12637
706837732,706837735,868,973b3b9ae11f884d39ad743cdbd79af404ed0ccc,ruby,ok,17,ruby,testunit,true,false,54,0,54,1,,,,,0.45,,12743
