tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
197908121,197908122,100,d9c504f81f4d9ce1976cf4141235344f6323a665,ruby,ok,0,ruby,,false,,,0,,,,,,,,,1188
403614774,403614777,109,1d7fbd519ffd13f9f72ce90ea52349032b270efa,ruby,ok,1,ruby,,false,,,0,,,,,,,,,1151
932088,932089,11,6f3b7b4e9c4b93fecc4d5e1481126183d90fdd2d,unknown,unknown,,plain,,false,,,,,,,,,,,,85
626540746,626540751,137,3132c10239c0f6e3546ffb82010c249f8ad873b9,ruby,unknown,4,ruby,,false,,,0,,,,,,,,,785
626545387,626545398,139,3ba74ddd13ca0c534051538d2aeb0d31f1871472,ruby,ok,7,ruby,,false,,,0,,,,,,,,,785
671874753,671874764,146,e254bb55707f586bed3211b359154568f4b55513,ruby,ok,8,ruby,,false,,,0,,,,,,,,,785
671918407,671918416,150,50a1b858e3cf8c2140dca18cd9a9137458d507ba,ruby,ok,7,ruby,,false,,,0,,,,,,,,,785
672325675,672325682,152,24c718d574b4c387b6ddaebc7217d89fb0ca4320,ruby,ok,7,ruby,,false,,,0,,,,,,,,,785
698068523,698068524,159,8fdc50f778a099970784955541ab70a8d84e7348,ruby,ok,7,ruby,,false,,,0,,,,,,,,,785
4673737,4673741,17,115735460337c467e7d8c7c6811ffc2bb68692cd,ruby,unknown,,ruby,,true,false,,0,,,,,,,,,98
6965636,6965638,36,0f5e292a36e885ac046824344fde66cb3471e0b8,java,broken,,java-ant,,false,,,,,,,,,,,,98
47788253,47788258,47,8a5f50eb09580eb076ffb922b1e4adf6bb9d543b,ruby,broken,0,ruby,cucumber,true,true,0,2,2,0,,,,features/rails_integration.feature#features/rails_integration.feature,9.75,,98
86466994,86466997,58,b411932fc3afd5a3295d7d8318f5b302e45fd312,ruby,broken,1,ruby,cucumber,true,true,0,2,2,0,,,,features/rails_integration.feature#features/rails_integration.feature,13.14,,98
