tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
148856308,148856316,14,de6ebcb932a3fe6daa0209b15196473aff724d9f,ruby,broken,2,ruby,,true,false,,0,,,,,,,,,2028
148860708,148860715,18,8fc8eaf0ed9f10d7f9cbefaecdf3938211518e06,ruby,unknown,3,ruby,rspec,true,false,44,0,44,0,,,,,0.16,,2025
149268186,149268187,22,6f0ea6b15c6c1ca1bf23119156117fffa58d6514,ruby,ok,0,ruby,rspec,true,false,44,0,44,0,,,,,0.04,,2025
259143246,259143247,33,8217dad654e5e6b43699165dba36e5a1d00aa304,ruby,ok,0,ruby,rspec,true,false,44,0,44,0,,,,,0.04,,2031
260729666,260729672,36,00e4ff643e957a85c47f0a1de54baec01d9baad1,ruby,unknown,2,ruby,rspec,true,false,44,0,44,0,,,,,0.19,,2034
321020708,321020713,42,7bd4bed613a94df43282d28c48033cdb9b62d621,ruby,ok,0,ruby,rspec,true,false,44,0,44,0,,,,,0.04,,2034
327854643,327854647,45,0ea14143c375f0bec117eb2a7ae2f78623b83867,ruby,ok,1,ruby,rspec,true,false,44,0,44,0,,,,,0.04,,2039
375138203,375138208,50,edc2ccb56c0e4dfd099408e67d96821e2fb836a6,ruby,ok,2,ruby,rspec,true,false,44,0,44,0,,,,,0.06,,2042
376511642,376511646,53,17433d9b28440e1228243894126b050744f1ac2e,ruby,ok,0,ruby,rspec,true,false,44,0,44,0,,,,,0.04,,2041
466166222,466166224,59,821b48bff219a0a0da938ea26f417658f4ce935c,ruby,ok,1,ruby,rspec,true,false,64,0,64,0,,,,,0.08,,2145
466171004,466171008,61,ed43f2e91db6df872c4e6a1a4d516026fe7ef713,ruby,ok,1,ruby,rspec,true,false,64,0,64,0,,,,,0.07,,2145
468155482,468155485,64,8f8154e085fec6d2e7bf3593c7a3f7eed36589b7,ruby,ok,1,ruby,rspec,true,false,65,0,65,0,,,,,0.08,,2151
