tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
46933264,46933266,128,df2d0c785e8ef8ae2cea7fd70d4190e3db3950d2,ruby,ok,0,ruby,testunit,true,false,95,0,95,0,,,,,0.08,,1261
63403852,63403853,186,ef06f12925fb6baa13a57c4c6bedee9c1f9714f2,ruby,broken,0,ruby,testunit,true,false,102,0,102,0,,,,,0.13,,1454
66802279,66802281,207,4dfd8bf9002fe7939434fec33fb0d21dc160813d,ruby,ok,0,ruby,testunit,true,false,93,0,93,0,,,,,0.13,,1591
69235691,69235695,235,80f519a593ece664af6c1d0b31d857d6bc7ad3ff,ruby,ok,0,ruby,testunit,true,false,131,0,131,0,,,,,0.57,,1852
76199044,76199045,258,87e6e2ad8e641a415db400a57bd58d2bfade786a,ruby,broken,0,ruby,,false,,,0,,,,,,,,,2021
81945273,81945274,310,3a1ba7aaa3dab6e333d7498a983a523cf4270329,ruby,ok,1,ruby,testunit,true,false,177,0,177,0,,,,,0.45999999999999996,,2667
83411102,83411104,338,473db02351ecda7f1c16032915782cb642190860,ruby,ok,1,ruby,testunit,true,false,102,0,102,0,,,,,0.14,,1782
97812714,97812721,370,05c4f1cc105f897fef8fba2cdcb4b38abc39f749,ruby,ok,2,ruby,testunit,true,false,114,0,114,0,,,,,0.11,,1986
138876200,138876202,404,dddeb81ff2ebbc79c35d9a21f26298a6f1910533,ruby,broken,2,ruby,,false,,,0,,,,,,,,,2169
182862877,182862880,451,5e6347a4ca00fd5f7e2c78d1c5d98bea25d6a939,unknown,unknown,,plain,,false,,,,,,,,,,,,2853
348114031,348114033,670,58421070c72b98648768bdd1dd2580e8f90a10bb,ruby,ok,2,ruby,testunit,true,false,244,0,244,2,,,,,1.26,,3064
351360320,351360323,691,3631f10a0ae12dd9f137629917e0f6e8125b460e,ruby,ok,2,ruby,testunit,true,false,70,0,70,1,,,,,0.24,,1112
389678008,389678011,726,4de691c12321e1dc231325abcca90b23d174885f,ruby,ok,4,ruby,testunit,true,false,70,0,70,1,,,,,0.24,,1114
