tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
2040050,2040051,100,8468d71923b43a45e333d8d96e1dd34e554971be,unknown,unknown,,plain,,false,,,,,,,,,,,,6221
213349,213351,17,1a519cc7f62b55c85ad9158af8393eed0df04f8a,unknown,unknown,,plain,,false,,,,,,,,,,,,5645
6677909,6677917,202,c787e59b02beb270696de0167516cd72ac04f0a1,java,ok,,java-ant,,false,,,,,,,,,,,,8443
96963189,96963197,258,5636d56f0294a38f98f4448613b66db43f651683,ruby,broken,18,ruby,,true,false,,0,,,,,,,,,8536
134896622,134896628,297,fb1de686d2895a6bf98a10bc64bd548babad6f15,ruby,ok,100,ruby,rspec,true,false,1634,0,1634,5,,,,,8.92,,8551
272672,272676,33,3da81a037c60e04d07d498a1cfadadaaee8edea5,unknown,unknown,,plain,,false,,,,,,,,,,,,5750
464744360,464744362,536,c5fc20327058007963468abb464dd884088c0521,ruby,ok,4,ruby,rspec,true,false,1492,0,1492,19,,,,,9.72,,8757
596546752,596546756,580,d71609c3e1a1d672ef1e0e1755ee6f27bb54e542,ruby,ok,4,ruby,rspec,true,false,1496,0,1496,19,,,,,7.1,,8798
699990,699994,63,8f6dab62e87467a41c15631ebff3c8223c84e7d5,unknown,unknown,,plain,,false,,,,,,,,,,,,6017
655343538,655343546,686,54d39a246c22ebdd1c8ee3d16387de5dbc71ac98,ruby,ok,4,ruby,rspec,true,false,1719,0,1719,19,,,,,5.48,,9227
