tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
71301050,71301051,100,70677a71a8c94d86b8f8ef23e503d24b00524bb3,ruby,broken,2,ruby,,false,,,0,,,,,,,,,6980
80189043,80189069,111,1f7f568466b5b5ad69d1c30946f124b585c8923f,ruby,ok,2,ruby,,false,,,0,,,,,,,,,6997
99964776,99964784,134,3e88eea029611d6ab806125c1ce133e1bf0381e4,ruby,ok,5,ruby,,false,,,0,,,,,,,,,7100
192277844,192277851,145,c4b1c3fa639c3bd83d4ba05e9ed358fa67fbc533,ruby,ok,2,ruby,,false,,,0,,,,,,,,,7115
304612172,304612184,155,dc4de50a110ab41bc894563b420fb059e58a3d4a,unknown,unknown,,plain,,false,,,,,,,,,,,,7114
505235359,505235373,202,fef75a6f576366bb8ef82ac065ed04afee32f4e4,ruby,ok,5,ruby,,false,,,0,,,,,,,,,7135
640352623,640352638,224,ff692f563a76ed5c4f172e70fffef50e6745a832,ruby,ok,4,ruby,,false,,,0,,,,,,,,,7152
11409438,11409442,26,6f086419c617b7bb8d1c3a4b1c53f5328ed380a6,ruby,ok,,ruby,,false,,,0,,,,,,,,,6776
13861048,13861053,39,95c0fdadc4a03b47b5d82728cc24e562f619982f,ruby,ok,,ruby,,false,,,0,,,,,,,,,6922
14276942,14276946,51,e09eaa6919a7c6bb91e4731a862cbce4f3d26fcb,ruby,ok,,ruby,,false,,,0,,,,,,,,,6929
18182714,18182718,64,d1f3b17bdc781c074ab7d9d06f7017d59d744677,ruby,ok,,ruby,,false,,,0,,,,,,,,,6940
