tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
712035579,712035580,100,81cc187a5ae7772fb6bfc9046de7d9af790e7c6f,ruby,ok,0,ruby,testunit,true,false,128,0,128,0,,,,,0,,1640
712037033,712037037,103,1809d3f49eafd2db4de6bfe0aa69cf45160fbd5d,ruby,broken,0,ruby,,true,false,,0,,,,,,,,,1671
712039022,712039025,107,5c0a9d27a2afeb03185a95158470bce59724c726,ruby,ok,1,ruby,testunit,true,false,134,0,134,0,,,,,0,,1692
725054615,725054617,112,47792e4ffef0bb2421beb3a93a9654d6fed185fa,ruby,ok,0,ruby,testunit,true,false,162,0,162,14,,,,,0,,1761
725401929,725401930,116,7759a9dda25846beb7f30bb89165f2d1a49a6468,ruby,ok,1,ruby,testunit,true,false,169,0,169,5,,,,,0,,1789
725408543,725408544,119,d97d2146f235d558aa2b925574b069c1e707afce,ruby,ok,0,ruby,testunit,true,false,169,0,169,5,,,,,0,,1789
540238842,540238843,35,3e9575a66e7570075399cfbeffe597f96b56b3fb,ruby,ok,1,ruby,testunit,true,false,95,0,95,0,,,,,0,,1240
600448134,600448135,54,cc6f59a02c45827c9011feb21392f23b70d69d32,ruby,broken,1,ruby,testunit,true,false,98,0,98,0,,,,,0,,1311
664190020,664190021,61,eb6968fe34df2f7281604250a586e6a8874e2c5a,unknown,unknown,,plain,,false,,,,,,,,,,,,1321
664192381,664192385,64,c884e933397ec922c1953553f580fbe72a1b56f4,ruby,ok,0,ruby,testunit,true,false,98,0,98,0,,,,,0,,1311
706879083,706879084,74,d56455ad8a017e1b481ad1fbe56391e6888481b4,ruby,ok,1,ruby,testunit,true,false,98,0,98,0,,,,,0,,1310
710568063,710568067,77,46379d771ac9ae8b9f11e6fe2314f4ac9d6a8f2b,ruby,ok,0,ruby,testunit,true,false,98,0,98,0,,,,,0,,1315
711844884,711844886,81,be149761b05b4c97a4a1937627c92372e9aadebc,ruby,ok,0,ruby,testunit,true,false,102,0,102,0,,,,,0,,1372
711847528,711847529,85,1980d86fa91929aa2f795cef3a5295cbe5c04ffa,ruby,ok,1,ruby,testunit,true,false,108,0,108,0,,,,,0,,1419
711848927,711848931,88,90eb519759d509d4ba953708640666d1ef39f642,ruby,ok,1,ruby,testunit,true,false,114,0,114,0,,,,,0,,1482
711852354,711852356,92,b5aa25f10c62d0707e35d5992b0b3cb31290226e,ruby,ok,0,ruby,testunit,true,false,117,0,117,1,,,,,0,,1553
712034567,712034568,96,8003fcdc779f39be9b5f7f37d60b5ef35a510657,ruby,ok,1,ruby,testunit,true,false,123,0,123,0,,,,,0,,1600
