tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
584552896,584552897,101,52a27fdcb9be0d296ad3d90416777c1cd87268a2,ruby,unknown,2,ruby,testunit,true,false,222,0,222,36,,,,,0,,2011
664217818,664217819,106,94ea0fd8bcacaf81278a5913827fdba3acabf569,ruby,unknown,0,ruby,testunit,true,true,58,2,60,10,,,,ElasticsearchTest#ElasticsearchTest,0,,2011
664247240,664247241,110,ddf9b6f45be7a8dc461c5089ec4c80fb3627420c,ruby,unknown,1,ruby,testunit,true,true,116,1,117,19,,,,MongoidTest,0,,2008
664254023,664254024,115,2faf6bb687520d66e2845f2c5e704f787abf6837,ruby,unknown,0,ruby,testunit,true,true,170,1,171,24,,,,SearchkickTest,0,,2008
687265724,687265725,124,deffa94c81746fc8d0bad97cafec661a12d6de1d,ruby,unknown,1,ruby,testunit,true,true,223,1,224,41,,,,MixlibShelloutTest,0,,2026
711443563,711443564,129,a42c087d7349f55ddf810c7d371f936a8f176560,ruby,unknown,0,ruby,testunit,true,true,220,7,227,41,,,,ConnectionPoolTest#MechanizeTest#MixlibShelloutTest,0,,2047
716034090,716034091,133,69781446ec40a949545fc8d712e3e63e982b8cf5,ruby,unknown,0,ruby,testunit,true,false,236,0,236,41,,,,,0,,2157
719908627,719908628,138,2316cdfe68fc776524ad0980ba6ce20549a3055b,ruby,unknown,1,ruby,testunit,true,false,251,0,251,42,,,,,0,,2285
736252406,736252407,142,c9134694a27adc43718f9bdf1bb0312462b1b4d5,ruby,ok,0,ruby,testunit,true,false,258,0,258,43,,,,,0,,2363
232682158,232682159,17,1734d8f710300accde4547c448e7ba47b1f7139b,ruby,broken,0,ruby,testunit,true,true,99,3,102,2,,,,TyphoeusTest#GeocoderTest#GeocoderTest,0,,845
232864938,232864939,22,ee4482795a0bb7b3df53289a9cb1a74c50487517,ruby,ok,0,ruby,testunit,true,false,104,0,104,2,,,,,0,,858
297818538,297818539,27,35d263cbf4c5ac16af7cdd7a96a756fad110f046,ruby,unknown,2,ruby,testunit,true,true,102,2,104,2,,,,TwilioTest#TwilioTest,0,,864
310383434,310383435,32,9d4cfd823302cc98146a4670571bc088cfdf97ad,ruby,unknown,0,ruby,testunit,true,false,110,0,110,4,,,,,0,,916
406717576,406717602,37,45edb3410d56f60efaa456e5b120674354c9b438,ruby,unknown,4,ruby,testunit,true,true,119,2,121,12,,,,MongoidTest#SearchkickTest,0,,1042
406898855,406898861,42,7d6183404f72b9a95a301d2f77601137762ded68,ruby,unknown,4,ruby,testunit,true,false,145,0,145,13,,,,,0,,1206
406967754,406967756,47,c80a513b9a718b464f3681e8a0a8c0a2df5b55a7,ruby,unknown,2,ruby,testunit,true,false,154,0,154,14,,,,,0,,1281
406992723,406992724,51,77ef32c6b3d0ceef857899c42a2901f724dddfd5,ruby,unknown,4,ruby,testunit,true,false,167,0,167,19,,,,,0,,1411
407037045,407037046,56,721f91a4c751189f3c7c0d51fdabff115e96abff,ruby,unknown,4,ruby,testunit,true,false,179,0,179,22,,,,,0,,1532
412040229,412040230,60,2ffe5a1d858445910b95d4fbf2ae49a1a6e19ceb,ruby,unknown,4,ruby,testunit,true,true,184,1,185,22,,,,GrpcTest,0,,1614
