tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
51628193,51628198,209,33a9abb4249a3a1d05dd197e8221e0cd7dcdd9bd,ruby,ok,0,ruby,rspec,true,false,202,0,202,0,,,,,1.38,,2255
107611755,107611764,235,1b7cefc12a884e84fc7627574fb39402b7fcbabc,ruby,ok,1,ruby,rspec,true,false,205,0,205,0,,,,,0.67,,2289
135592602,135592605,242,413aac6051df231fda512efd0d543c53c34287a0,ruby,ok,1,ruby,rspec,true,false,212,0,212,0,,,,,1.01,,2333
135730409,135730424,248,45c2af0c6ca8c2cb36b2dfd128314ea66a028c0c,ruby,ok,0,ruby,rspec,true,false,213,0,213,0,,,,,0.71,,2344
399028307,399028317,286,32fb37708671f72fb7fc6c1a0c7196e5f8291a2d,ruby,ok,0,ruby,rspec,true,false,213,0,213,0,,,,,0.49,,2346
399253476,399253485,302,8f8e304ef05eed1e9cd921f334fc9a8b7d3a2ed8,ruby,ok,4,ruby,rspec,true,false,213,0,213,0,,,,,0.49,,2361
401895847,401895853,316,7d0d2f2acb2f36da97d41c63aff33dc137010932,ruby,broken,0,ruby,rspec,true,false,0,0,0,0,,,,,0.0,,2870
446124153,446124156,325,29caaa8d399968258299b57c84eac2e5e6fc4cf7,ruby,ok,0,ruby,rspec,true,false,266,0,266,0,,,,,0.74,,2822
606384127,606384130,350,fe067e292891f849f61f46be456e88656dfe9b2e,ruby,ok,1,ruby,rspec,true,false,266,0,266,0,,,,,0.89,,2822
658619770,658619776,357,2cd309fb93b91cdb3cc0007fef76d1fbcc9f1b52,ruby,ok,1,ruby,rspec,true,false,266,0,266,0,,,,,0.82,,2822
