tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
128869721,128869756,121,bc0f1f7e849f0f2deb089013e4ff203859dab834,ruby,ok,0,ruby,rspec,true,false,45,0,45,0,,,,,0.95,,1167
186653442,186653447,145,9f0081a06a693cb97c0fa23eb4ff2a288f63d69b,ruby,broken,0,ruby,rspec,true,false,51,0,51,0,,,,,0.6,,1255
234028624,234028644,160,f9f928a7b32ee736f2ac42d815cf7f606aaf0521,ruby,ok,1,ruby,rspec,true,false,51,0,51,0,,,,,2.32,,1262
273314249,273314302,188,f9f928a7b32ee736f2ac42d815cf7f606aaf0521,ruby,ok,1,ruby,rspec,true,false,51,0,51,0,,,,,0.67,,1262
310056760,310056796,202,8da9ddbfa5c885dd858e1c8df9f42c0658f84fad,ruby,broken,0,ruby,,true,false,,0,,,,,,,,,1265
351325232,351325273,216,8da9ddbfa5c885dd858e1c8df9f42c0658f84fad,ruby,broken,1,ruby,rspec,true,false,51,0,51,0,,,,,0.66,,1265
380724297,380724331,230,c7ba16fc7213165d5e7cea9a385ed4151f31ebbb,ruby,ok,4,ruby,rspec,true,false,51,0,51,0,,,,,1.94,,1265
414546691,414546722,245,986a46d99c4b3762c60f754a9d32e032a5a36545,ruby,broken,1,ruby,rspec,true,false,51,0,51,0,,,,,0.4,,1265
458833113,458833141,260,986a46d99c4b3762c60f754a9d32e032a5a36545,ruby,broken,1,ruby,rspec,true,false,51,0,51,0,,,,,0.44,,1265
503636462,503636489,275,986a46d99c4b3762c60f754a9d32e032a5a36545,ruby,broken,1,ruby,rspec,true,false,0,0,0,0,,,,,0.0,,1265
548731327,548731353,290,986a46d99c4b3762c60f754a9d32e032a5a36545,ruby,broken,1,ruby,rspec,true,false,51,0,51,0,,,,,0.96,,1265
593597017,593597018,305,986a46d99c4b3762c60f754a9d32e032a5a36545,ruby,broken,1,ruby,rspec,true,false,0,0,0,0,,,,,0.0,,1265
664892498,664892528,334,986a46d99c4b3762c60f754a9d32e032a5a36545,ruby,broken,1,ruby,rspec,true,false,0,0,0,0,,,,,0.0,,1265
704710732,704710773,349,986a46d99c4b3762c60f754a9d32e032a5a36545,ruby,broken,1,ruby,rspec,true,false,0,0,0,0,,,,,0.0,,1265
736411921,736411990,364,986a46d99c4b3762c60f754a9d32e032a5a36545,ruby,broken,0,ruby,rspec,true,false,0,0,0,0,,,,,0.0,,1265
750416233,750416274,381,3d313117c1c6694f6176706973894fd501c99398,ruby,ok,1,ruby,rspec,true,false,51,0,51,0,,,,,0.56,,1271
29860225,29860227,65,bf1364566b4d34137e8682ed03344e7985e33e1e,ruby,ok,,ruby,rspec,true,false,33,0,33,0,,,,,2.17,,917
