tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
12860449,12860450,100,ad5f9c8ae17cbcda48ec5c420d1aa34418ebf09e,ruby,unknown,,ruby,,false,,,0,,,,,,,,,1072
12901715,12901718,108,1f6da0f7770564d40f5c422694b815db36ea62dc,ruby,ok,,ruby,,false,,,0,,,,,,,,,1029
12908169,12908170,115,8616c9e41d52ed60639a8241e359c0d57e8b919c,ruby,ok,,ruby,,false,,,0,,,,,,,,,1049
12926093,12926095,122,1a817416e31e8a06972010fa60b946a3c0915ed1,ruby,ok,,ruby,,false,,,0,,,,,,,,,1049
13053522,13053524,132,6faa29006f84ce6d0fa783c766748d35538bd2e4,ruby,ok,,ruby,,false,,,0,,,,,,,,,1027
13604037,13604039,142,0e38bbbe9964433133d2c298d41f1e028af6b537,ruby,ok,,ruby,,false,,,0,,,,,,,,,1163
14110198,14110200,152,be4f4f1d79b936d527d1ec9e3bf2c23c1ee5fd97,ruby,broken,,ruby,,false,,,0,,,,,,,,,1261
14562932,14562933,172,3bac23df3d0a05c8dd173eca1e5a2416b040bc70,ruby,ok,,ruby,,false,,,0,,,,,,,,,1348
24228579,24228580,192,60c91d6d023601492c8b4cc04241073025eea039,ruby,broken,,ruby,,false,,,0,,,,,,,,,1425
73976941,73976942,199,a11a411ae1edd623f10c8588ea6b5d5823be45a0,ruby,unknown,13,ruby,,false,,,0,,,,,,,,,1428
194053,194054,26,941a78ecb6a1cf934b03d346dd1fb9fa020b96c9,unknown,unknown,,plain,,false,,,,,,,,,,,,407
518436,518439,32,efbb6dd410c420880e25f0c4c043d5cad4442b96,unknown,unknown,,plain,,false,,,,,,,,,,,,421
935806,935808,39,a42c991e810f9d6bf9e8fe8aec3c98f9884da589,unknown,unknown,,plain,,false,,,,,,,,,,,,442
3417500,3417503,54,3d3fd5b9fe595cdeb750e3598cb4838fc12ca3a8,unknown,unknown,,plain,,false,,,,,,,,,,,,487
12101324,12101325,77,89b2ad7804871cf8797ee5316fef6f8aa2a055d0,ruby,unknown,,ruby,,false,,,0,,,,,,,,,946
