tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
2711413,2711414,100,3dfcf651ae62125fc6ed986d2189363addb066d4,unknown,unknown,,plain,,false,,,,,,,,,,,,1764
4533870,4533871,126,c7e8d4f8d98bf76118f2c14f7c0961fb52098262,ruby,unknown,,ruby,rspec,true,false,77,0,77,0,,,,,2.4499999999999997,,1774
5533193,5533195,139,7228aa4f469546fef8252e933f9d1d2d47d33407,ruby,ok,,ruby,rspec,true,false,74,0,74,0,,,,,1.2,,1859
5745572,5745573,151,ca6a1458fdccacef222abb1db1001480c1f9fcf8,ruby,ok,,ruby,rspec,true,false,74,0,74,0,,,,,1.03,,2147
6104200,6104201,177,e8d00b9a134be1281ca26c6a9e790f42b398d036,ruby,ok,,ruby,rspec,true,false,74,0,74,0,,,,,0.66,,2183
2181022,2181023,18,354d3fab0cb56197702debe35585e1bb9028f15e,unknown,unknown,,plain,,false,,,,,,,,,,,,1508
8494673,8494674,214,65d9dc51b9fc0cde7cce3f2b646697ed421e6a47,ruby,ok,,ruby,rspec,true,false,81,0,81,0,,,,,1.23,,2390
2317262,2317263,23,9cb0b05e10eb50aac537e9ebdf9467cf1c62dbe3,unknown,unknown,,plain,,false,,,,,,,,,,,,1623
13726207,13726208,252,324aa8b4163b5218af9ea380903e94536c7b4bd5,ruby,ok,,ruby,rspec,true,false,77,0,77,0,,,,,1.34,,2762
16108856,16108857,265,4caac9b6ec06e848904adf68ceb457a6b3e7c361,ruby,broken,,ruby,rspec,true,true,47,30,77,0,,,,,0.78,,2779
2333035,2333036,39,92471e82ae3270afee3082c884dfee5140f4512a,unknown,unknown,,plain,,false,,,,,,,,,,,,1682
2346112,2346113,51,12aa96ddbcb291fdcc5529d26b48d95952b10c83,unknown,unknown,,plain,,false,,,,,,,,,,,,1694
2380262,2380263,64,647580abec0e9a99e34d8943ed34e7b7ce0d10a1,unknown,unknown,,plain,,false,,,,,,,,,,,,1713
2461507,2461508,78,b91585796af95942733c5feae2413229e7f2fb16,unknown,unknown,,plain,,false,,,,,,,,,,,,1703
