tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
165144878,165144883,1097,d41a8186767d8399782c8069f923e62f628bd2db,ruby,ok,623,ruby,rspec,true,false,131,0,131,1,,,,,0.95,,2229
174936690,174936692,1141,92137ba0b20b432832e150b06cf17b4b6d60bccc,unknown,unknown,,plain,,false,,,,,,,,,,,,2407
187870635,187870639,1182,8ea623fd8157711933121adcd57a808f06dd5d66,ruby,ok,3,ruby,rspec,true,false,137,0,137,0,,,,,1.0,,2406
262563972,262563974,1352,d2a8dc39770aaac7e36811d9004c581855b1a884,ruby,ok,5,ruby,,false,,,0,,,,,,,,,2490
279267683,279267687,1392,efa960ce1c189cd999753713fcfbfb6b7514ab45,ruby,ok,2,ruby,rspec,true,false,149,0,149,0,,,,,1.26,,2491
327828869,327828871,1573,f977cd107243afa382be0f69db27119d0450985f,ruby,ok,2,ruby,,false,,,0,,,,,,,,,2743
354490716,354490719,1666,0bc56a659a6d521143b432701e4abf9790aeb2e9,ruby,ok,2,ruby,,false,,,0,,,,,,,,,2908
370279464,370279468,1706,80e5e8fc82ce62f20902d2b0c9a7ad0b0935f4da,ruby,ok,5,ruby,rspec,true,false,140,0,140,0,,,,,1.23,,3177
395925418,395925424,1744,20ee04ba1234e9e83eb2ffb5056e23d641c7a018,ruby,broken,15,ruby,rspec,true,true,140,1,141,0,,,,,11.52,,3261
419382767,419382769,1783,9631e5fe84d153a9da8f165c80ef0732c8333e58,ruby,ok,2,ruby,,false,,,0,,,,,,,,,3261
445362533,445362539,1821,5d7f18bc415e9a2c27769b7ea0adb9bc18b285c0,ruby,broken,2,ruby,rspec,true,false,8,0,8,0,,,,,53.87,,3284
469753174,469753180,1859,5d7f18bc415e9a2c27769b7ea0adb9bc18b285c0,ruby,broken,15,ruby,,false,,,0,,,,,,,,,3284
