tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
129143158,129143160,10,7e7ade158ba3b7ff04560bc1cc8107e2ef5e01c9,ruby,broken,1,ruby,,false,,,0,,,,,,,,,3030
129143158,129143162,10,7e7ade158ba3b7ff04560bc1cc8107e2ef5e01c9,ruby,broken,1,ruby,,false,,,0,,,,,,,,,3030
129143158,129143163,10,7e7ade158ba3b7ff04560bc1cc8107e2ef5e01c9,ruby,ok,1,ruby,,false,,,0,,,,,,,,,3030
129143158,129143165,10,7e7ade158ba3b7ff04560bc1cc8107e2ef5e01c9,ruby,ok,1,ruby,,false,,,0,,,,,,,,,3030
129143158,129143166,10,7e7ade158ba3b7ff04560bc1cc8107e2ef5e01c9,ruby,unknown,1,ruby,,false,,,0,,,,,,,,,3030
129143158,129143168,10,7e7ade158ba3b7ff04560bc1cc8107e2ef5e01c9,ruby,unknown,1,ruby,,false,,,0,,,,,,,,,3030
129143664,129143669,11,ce1132391da38423278383004c8140aeb2a26650,ruby,broken,1,ruby,,false,,,0,,,,,,,,,3037
129143664,129143671,11,ce1132391da38423278383004c8140aeb2a26650,ruby,broken,2,ruby,,false,,,0,,,,,,,,,3037
129143664,129143673,11,ce1132391da38423278383004c8140aeb2a26650,ruby,ok,1,ruby,,false,,,0,,,,,,,,,3037
129143664,129143674,11,ce1132391da38423278383004c8140aeb2a26650,ruby,ok,1,ruby,,false,,,0,,,,,,,,,3037
129143664,129143675,11,ce1132391da38423278383004c8140aeb2a26650,ruby,unknown,1,ruby,,false,,,0,,,,,,,,,3037
129143664,129143676,11,ce1132391da38423278383004c8140aeb2a26650,ruby,unknown,1,ruby,,false,,,0,,,,,,,,,3037
108288918,108288919,1,7cd23c546c0c8fbd7ee13a4aa81a2626c3781c73,ruby,broken,1,ruby,,false,,,0,,,,,,,,,3034
108288918,108288922,1,7cd23c546c0c8fbd7ee13a4aa81a2626c3781c73,ruby,broken,1,ruby,,false,,,0,,,,,,,,,3034
108288918,108288923,1,7cd23c546c0c8fbd7ee13a4aa81a2626c3781c73,ruby,broken,2,ruby,,false,,,0,,,,,,,,,3034
108288918,108288924,1,7cd23c546c0c8fbd7ee13a4aa81a2626c3781c73,ruby,broken,4,ruby,,false,,,0,,,,,,,,,3034
108288918,108288925,1,7cd23c546c0c8fbd7ee13a4aa81a2626c3781c73,ruby,unknown,4,ruby,,false,,,0,,,,,,,,,3034
108288918,108288926,1,7cd23c546c0c8fbd7ee13a4aa81a2626c3781c73,ruby,unknown,1,ruby,,false,,,0,,,,,,,,,3034
