tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
44471800,44471801,100,b9f5d1adc58aa7587b297d9771861e0d05512b96,ruby,ok,1,ruby,,false,,,0,,,,,,,,,3469
47861295,47861296,111,830c9bd22cb093b8f62750d8f1f8e5e50ec2a441,ruby,ok,0,ruby,,false,,,0,,,,,,,,,3582
60784759,60784760,122,dc0f176a3e4b72c47798aa09cda738521655dcb1,ruby,ok,0,ruby,,false,,,0,,,,,,,,,3597
113673116,113673117,155,99b90ede4f99d0e1827515dfba9ca1f34c4b1686,ruby,unknown,1,ruby,,false,,,0,,,,,,,,,3828
210102784,210102789,176,c9c500c7408b3a7c0b6e565d0d2c2011a08ddafa,ruby,ok,2,ruby,,false,,,0,,,,,,,,,3901
269455718,269455721,191,9e46bb9c055c1560e8219509c2093846b965c9d7,ruby,ok,2,ruby,,false,,,0,,,,,,,,,3923
373647321,373647323,208,638d29d7569da67af635ee70fb387de04a5fc421,ruby,ok,2,ruby,,false,,,0,,,,,,,,,3956
421892493,421892494,221,b27894701dd38ae227be0ccc4fce50c55581b3f7,ruby,ok,2,ruby,,false,,,0,,,,,,,,,3959
438406029,438406030,233,bdd679aded12406bd8b20e482f736cebbc19c765,ruby,ok,2,ruby,,false,,,0,,,,,,,,,4020
18380110,18380112,45,093c613a37d2db04f26e7faae29e82f8f7a9f465,ruby,ok,,ruby,,false,,,0,,,,,,,,,3286
