tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
744132,744133,100,6bbc6fd4caac5a5c8bbe0db2017219582b29fe7e,unknown,unknown,,plain,,false,,,,,,,,,,,,2801
962183,962185,130,debf61a79d811aafa5df5be63f4a088842a8f927,unknown,unknown,,plain,,false,,,,,,,,,,,,3158
1125175,1125176,172,f406b5666a200546e7f739aea4e4b8d92f01d548,unknown,unknown,,plain,,false,,,,,,,,,,,,3396
1727527,1727529,205,9a78dc80e091dc1fa59460e8743174f5cbfa27d2,unknown,unknown,,plain,,false,,,,,,,,,,,,3636
2791613,2791618,236,4ab33bababfbe6fca00f1e89c540c7b427097e1e,unknown,unknown,,plain,,false,,,,,,,,,,,,3970
11676117,11676118,383,b94efb9130a4640403908b81ec703a6c284f3c45,ruby,unknown,,ruby,,false,,,0,,,,,,,,,4909
26540831,26540834,463,78832124b0ff5c82fb19005d16e133b8625a48d9,ruby,ok,,ruby,,false,,,0,,,,,,,,,5259
39862504,39862506,502,2b49757eeaa51ca84eac33d76ed6006b2a559707,ruby,ok,,ruby,,false,,,0,,,,,,,,,5552
61853732,61853733,534,776e6c5f062c0feaf26d78bb8288ee2b97a93c17,ruby,unknown,2,ruby,,false,,,0,,,,,,,,,5610
137174735,137174740,559,89c1e625f430a807e6ce5b18672952ec22413464,ruby,unknown,1,ruby,,false,,,0,,,,,,,,,5625
147811353,147811356,573,8f9a7fcf6d6797f654c06a3ebcbfc7ef693d9b28,ruby,ok,4,ruby,,false,,,0,,,,,,,,,5870
68462,68463,5,087c4a017feb6f46bc62ea183226093c04571a6b,unknown,unknown,,plain,,false,,,,,,,,,,,,894
654414,654415,70,ae6f30fa16b6e39bff9ca5ef8e4ffded6ec331d3,unknown,unknown,,plain,,false,,,,,,,,,,,,2094
