tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
56894849,56894853,100,4415211100145efdcfdc3129a3176de46d709832,ruby,ok,0,ruby,rspec,true,false,49,0,49,2,,,,,0.27,,830
58158426,58158432,118,e8812b13298a2ab91ecb4fdc19e9fddb22f8dafc,ruby,ok,0,ruby,rspec,true,false,53,0,53,0,,,,,0.3,,853
58285044,58285046,131,ddf7127b271e88dbaebe537156ef2426a8572686,ruby,ok,1,ruby,rspec,true,false,56,0,56,0,,,,,0.44,,888
81305855,81305856,144,1d25475686b670469eec1b6c4f1c4b05dac0f27f,ruby,unknown,0,ruby,,false,,,0,,,,,,,,,957
103481660,103481662,157,fba29d80e29015ce38fb5fcc8d20ea56ce53c19e,ruby,ok,1,ruby,rspec,true,false,81,0,81,0,,,,,0.35,,1191
103672166,103672176,163,16ca450033c8a6a41912f7fcd7e09e008b94bf0e,ruby,unknown,7,ruby,rspec,true,false,81,0,81,0,,,,,1.21,,1191
52983872,52983875,16,d296de7c060cf72c3d2ae82519c016cd4f4546bb,ruby,ok,0,ruby,rspec,true,false,14,0,14,1,,,,,0.02,,308
139992296,139992311,175,de070d5bfa11e9190f178d0861314f887a70ae72,ruby,unknown,4,ruby,rspec,true,false,81,0,81,0,,,,,1.13,,1190
141499901,141499904,181,51c914ea8a7b5874d28035737bf2f329b27f4986,ruby,ok,1,ruby,rspec,true,false,81,0,81,0,,,,,0.57,,1189
53035304,53035305,18,e96d71552e31356b2e59e575ea18ba659ba41601,ruby,ok,0,ruby,rspec,true,false,15,0,15,1,,,,,0.04,,320
52884621,52884622,1,5efd2681d0c5919128a136d86a51ecf257627adc,ruby,ok,0,ruby,rspec,true,false,7,0,7,0,,,,,0.01,,168
53045858,53045859,21,36c35bce7df18c90b8d952db95332e32ac892cb9,ruby,ok,0,ruby,rspec,true,false,15,0,15,1,,,,,0.04,,320
53108150,53108152,25,527f4768bcd8a74b748efba0f16ab75967ebfede,ruby,ok,0,ruby,rspec,true,false,18,0,18,1,,,,,0.03,,364
53412119,53412120,38,9138826324a60bc9911b080dc072862b6b640a31,ruby,unknown,0,ruby,,false,,,0,,,,,,,,,513
52903882,52903885,4,cf334b545fe29b40a331951a7a5689454887e840,ruby,ok,0,ruby,rspec,true,false,10,0,10,1,,,,,0.04,,229
53721522,53721524,62,a24389f6cc2fc7fd78e4a88166d7f69d581081f3,ruby,ok,1,ruby,rspec,true,false,35,0,35,1,,,,,0.25,,646
54326937,54326938,75,1af691ef241cc7402b7cae69e84cbecf2617b12d,ruby,ok,0,ruby,rspec,true,false,38,0,38,1,,,,,0.26,,687
55230073,55230076,87,d889b9380d54c3ec3516662439d73a0c09103b6b,ruby,ok,0,ruby,rspec,true,false,45,0,45,0,,,,,0.29,,811
