tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
720297,720298,100,c22fbb916b01495f90aa5430c00dc063f1690f98,unknown,unknown,,plain,,false,,,,,,,,,,,,5708
930921,930924,176,ad7119b5927584e4fc735ce72ea69322c3e9acac,unknown,unknown,,plain,,false,,,,,,,,,,,,6437
1078386,1078391,229,a180f6b9e0e650973abdc761183737bf3551d42d,unknown,unknown,,plain,,false,,,,,,,,,,,,6863
1318483,1318489,267,373bae8d267549fb10b670e1fba4bdcd4bcc4167,unknown,unknown,,plain,,false,,,,,,,,,,,,8915
1573574,1573577,311,e693d2b1933797e18cc1cdd3cba793630e8ecb25,unknown,unknown,,plain,,false,,,,,,,,,,,,10345
377955,377958,34,cc3862f5df608d738b86bd755aec8c3282aa2cb5,unknown,unknown,,plain,,false,,,,,,,,,,,,4810
2092939,2092948,387,805a1e816e227ec5e22a2832dd3daa9786d40dfc,unknown,unknown,,plain,,false,,,,,,,,,,,,10957
2611068,2611075,441,19649444434746507d01316a1095a31b155731ba,unknown,unknown,,plain,,false,,,,,,,,,,,,11707
2847091,2847098,479,0acc2dc619d98075d4e971d9e9cc765b8ff4f62c,unknown,unknown,,plain,,false,,,,,,,,,,,,11869
3391512,3391514,517,c3a36737a56a4f0334b97a897a0d3aa17eded82d,unknown,unknown,,plain,,false,,,,,,,,,,,,12526
6267174,6267182,555,6d007634f43ed26571836672a79dd196864b9529,java,unknown,,java-ant,,false,,,,,,,,,,,,12922
8524546,8524556,589,7bdd26c8a56ba838c7dcfa07ce0b0bfdab222a11,java,ok,,java-ant,,false,,,,,,,,,,,,13102
19653487,19653491,681,450d5e703ff6d45b6689959ea9079e81ff6dc4ad,ruby,broken,,ruby,,false,,,0,,,,,,,,,13785
172489796,172489805,836,7f88a737a6f99f007c08898d31d4d758c8d20156,ruby,ok,1,ruby,,false,,,0,,,,,,,,,14559
217489747,217489748,874,c8ac844572b25fda358cc01d2104720c4c42f450,ruby,ok,1,ruby,,false,,,0,,,,,,,,,14652
