tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
559839636,559839637,1033,e61c0b8a21cf3b52d803e6450276b7554c877052,ruby,unknown,1,ruby,,false,,,0,,,,,,,,,9093
572196507,572196508,1070,3466006720728a8dbe8280a19bc6e0543730bb5f,ruby,ok,1,ruby,rspec,true,false,821,0,821,0,,,,,5.01,,9121
587784685,587784687,1107,3466006720728a8dbe8280a19bc6e0543730bb5f,ruby,ok,1,ruby,rspec,true,false,821,0,821,0,,,,,6.22,,9121
590652641,590652650,1138,172476d41b57bda794ce9500d34b2732b8c683ca,ruby,ok,1,ruby,rspec,true,false,872,0,872,0,,,,,1.48,,10155
595997404,595997409,1168,b4e302827f99777af9384c6db8a7c802e5ddf316,ruby,ok,1,ruby,rspec,true,false,881,0,881,0,,,,,1.8,,10242
614949293,614949300,1227,5bc211faf77afb66685b4ff13525652127cf7bbb,ruby,ok,1,ruby,rspec,true,false,927,0,927,0,,,,,1.81,,10325
628048731,628048734,1257,5bc211faf77afb66685b4ff13525652127cf7bbb,ruby,ok,1,ruby,rspec,true,false,927,0,927,0,,,,,1.45,,10325
638345487,638345496,1286,5bc211faf77afb66685b4ff13525652127cf7bbb,ruby,ok,1,ruby,rspec,true,false,927,0,927,0,,,,,1.38,,10325
647974755,647974760,1316,8b219543eebc0d021c04b41e7fc889055af516e7,ruby,ok,1,ruby,rspec,true,false,927,0,927,0,,,,,1.5,,10327
657216978,657216979,1346,a9654aebf69cb296bfbce7e5c8f43e0455decb8e,ruby,ok,1,ruby,rspec,true,false,928,0,928,0,,,,,3.95,,10343
669221516,669221532,1375,a9654aebf69cb296bfbce7e5c8f43e0455decb8e,ruby,ok,1,ruby,rspec,true,false,929,0,929,0,,,,,1.14,,10343
680095456,680095459,1405,a9654aebf69cb296bfbce7e5c8f43e0455decb8e,ruby,ok,1,ruby,rspec,true,false,929,0,929,0,,,,,1.43,,10343
691307421,691307466,1434,a9654aebf69cb296bfbce7e5c8f43e0455decb8e,ruby,ok,1,ruby,,false,,,0,,,,,,,,,10343
702035197,702035209,1464,a9654aebf69cb296bfbce7e5c8f43e0455decb8e,ruby,ok,1,ruby,rspec,true,false,929,0,929,0,,,,,1.34,,10343
711727558,711727563,1494,a9654aebf69cb296bfbce7e5c8f43e0455decb8e,ruby,ok,1,ruby,rspec,true,false,928,0,928,0,,,,,4.32,,10343
720383675,720383689,1523,a9654aebf69cb296bfbce7e5c8f43e0455decb8e,ruby,ok,1,ruby,rspec,true,false,929,0,929,0,,,,,1.27,,10343
729328154,729328161,1553,a9654aebf69cb296bfbce7e5c8f43e0455decb8e,ruby,ok,1,ruby,rspec,true,false,929,0,929,0,,,,,1.78,,10343
737431772,737431786,1582,a9654aebf69cb296bfbce7e5c8f43e0455decb8e,ruby,ok,1,ruby,,false,,,0,,,,,,,,,10343
746278283,746278287,1636,8f4282341558fbfa0db9d8a77fb1028bfa20ed1d,ruby,ok,1,ruby,rspec,true,false,937,0,937,0,,,,,1.46,,10422
