tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
378190835,378190836,121,e3b4c70e08ba96e4cbe7693cdda156b403bde874,ruby,ok,0,ruby,testunit,true,false,286,0,286,0,,,,,1.18,,14367
384082514,384082515,142,d27f62c1b928ae82e37f40e4ee9db13cb1a91b9c,ruby,ok,1,ruby,testunit,true,false,304,0,304,0,,,,,1.67,,15269
386096022,386096023,162,32ee55d0a783c8770ba2d308ef956438044007fa,ruby,ok,1,ruby,testunit,true,false,306,0,306,0,,,,,1.35,,15890
392142608,392142609,189,53a8184e7db634166526a2abe72bc935938b2df4,ruby,ok,2,ruby,testunit,true,false,326,0,326,0,,,,,1.57,,16792
413800714,413800715,234,3819f06b958e2969ae50960307c7f0af59134956,ruby,ok,1,ruby,testunit,true,false,364,0,364,0,,,,,2.09,,18638
439337376,439337377,281,db5e34a21bec0b56924293f41116964a45e896c1,ruby,ok,33,ruby,testunit,true,false,392,0,392,0,,,,,2.3,,19349
447970260,447970261,325,7977025563fd408b7bfb24f6b90aed0e77dd1512,ruby,ok,1,ruby,testunit,true,false,400,0,400,0,,,,,6.44,,19860
485483165,485483166,367,73ee1519727b4fb2587469c9d859fb206faab6c4,ruby,broken,2,ruby,testunit,true,true,414,2,416,0,,,,,5.4,,20362
501619784,501619785,388,53456e46a938b704a4cc8f398f08121644a08bdc,ruby,ok,3,ruby,testunit,true,false,430,0,430,0,,,,,7.06,,21072
558801985,558801987,430,085c40fd29c5cb2346245a0ecbc0b311dfad9676,ruby,ok,4,ruby,testunit,true,false,435,0,435,0,,,,,9.68,,21496
567510855,567510856,451,487d22e6ead2e64cc78b5d0bd15be11b4e76b4de,ruby,ok,4,ruby,,false,,,0,,,,,,,,,17586
597272939,597272940,478,dd5ebf24732a4eeb0ba390470be472794713cec2,ruby,ok,2,ruby,,false,,,0,,,,,,,,,17875
342002889,342002890,52,c9866f8cadf267aea31d8316a010d7bd0d6f5572,ruby,ok,1,ruby,testunit,true,false,172,0,172,0,,,,,0.44,,8444
