tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
654807012,654807016,6972,44621209496fe4dd352709799a0061a80d97d562,ruby,unknown,3,ruby,rspec,true,true,1650,1,1651,0,,,,,2.04,,22820
667247171,667247177,7002,44621209496fe4dd352709799a0061a80d97d562,ruby,unknown,5,ruby,rspec#cucumber,true,false,1656,0,1656,0,,,,,2.11,,22820
670936583,670936594,7047,2058fe16a5bf21ccf08754e32f3a0817af720021,ruby,unknown,17,ruby,rspec#cucumber,true,false,1660,0,1660,0,,,,,5.95,,22921
679408516,679408566,7084,da55958746df3dcc3eae7ae238c15fba30e9f90d,ruby,ok,72,ruby,rspec#cucumber,true,false,1667,0,1667,6,,,,,1.99,,22944
686590469,686590476,7120,ed0ecb18b7e8b38b111ebf11a7880961e5cf3aae,ruby,ok,69,ruby,rspec#cucumber,true,false,1659,0,1659,3,,,,,2.01,,22966
695859964,695859977,7204,33a46da1019d07fe4f8158a4e8ce318fe5dd9e22,ruby,unknown,17,ruby,,false,,,0,,,,,,,,,23020
702892664,702892702,7237,db33104edf28ea9be5e42a099566fc313831aa83,ruby,unknown,3,ruby,rspec,true,false,0,0,0,0,,,,,0.0,,23023
708012318,708012333,7281,8009413ed11b203c3c1727096cc6bf225f24b06e,ruby,unknown,10,ruby,,false,,,0,,,,,,,,,23060
716315132,716315185,7316,476c8508a34cb072489c03d44fe251427605fa40,ruby,unknown,5,ruby,rspec,true,false,0,0,0,0,,,,,0.0,,23074
722056883,722056940,7350,237d76b9ffe330783509c83fc17dd3151f323d0f,ruby,unknown,5,ruby,rspec,true,false,0,0,0,0,,,,,0.0,,23075
728057605,728057614,7385,3ae9bbcc8a38657747edf16a9f8c16eea9ee0dab,ruby,unknown,4,ruby,rspec#cucumber,true,false,1674,0,1674,0,,,,,2.22,,23090
731981514,731981531,7419,d68ea2ae4c1d5e1e9329e23f00ddb02e902ad5c0,ruby,unknown,5,ruby,rspec,true,false,2471,0,2471,5,,,,,46.4,,23093
736138095,736138098,7460,b617433e2d457a70fbee3b592be35b4599b16ce0,ruby,broken,5,ruby,rspec,true,true,1661,1,1662,3,,,,,2.27,,23158
741425584,741425618,7495,22252382421f3126d6e10fa90a63237ff817436a,ruby,ok,4,ruby,rspec#cucumber,true,false,1667,0,1667,6,,,,,2.17,,23172
747826517,747826534,7567,8510765c68913ccd3ce8e4d89cefe514ee187087,ruby,unknown,4,ruby,rspec#cucumber,true,false,1680,0,1680,0,,,,,2.1199999999999997,,23212
752830512,752830524,7602,ca4f9aa0014ed68771d46d4c2301049128e0bc4f,ruby,unknown,4,ruby,rspec#cucumber,true,false,1680,0,1680,0,,,,,2.04,,23218
756876180,756876189,7686,84acc29d5ff807507fe57aafcf7f9b2acdb89fe2,ruby,unknown,4,ruby,rspec#cucumber,true,false,4198,0,4198,13,,,,,1.6400000000000001,,23332
