tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
28456041,28456042,100,a56d1697c03d5c1e38f2f1e648689224d2577919,ruby,ok,,ruby,rspec,true,false,24,0,24,0,,,,,1.41,,669
30598790,30598791,109,7e487bfad92b4f554eed1b9561db3842b8c6f506,ruby,ok,,ruby,rspec,true,false,26,0,26,0,,,,,1.26,,679
31634337,31634338,116,e11706fa6750ecf92589e2a19d3545cb493f46cc,ruby,ok,10,ruby,rspec,true,false,26,0,26,0,,,,,1.61,,679
37477163,37477164,126,0acb45307680034b01039b27ff6277d4fe5845f6,ruby,unknown,6,ruby,rspec,true,false,27,0,27,0,,,,,1.13,,685
42143653,42143654,134,1f42b402d2454d6b3bb2381d935824d5f88c4057,objective-c,unknown,11,plain,,false,,,,,,,,,,,,685
45585219,45585220,152,226c33ef0bccd5270fd402e6f8b4d8b24db39b3a,objective-c,unknown,15,plain,,false,,,,,,,,,,,,669
62954063,62954065,160,34f30e7a1f7598721114fb69274636647fa861ee,objective-c,unknown,10,plain,,false,,,,,,,,,,,,669
26268466,26268467,16,5b9f43a0d443146c035806b036e1310365ad6dc1,ruby,ok,,ruby,rspec,true,false,21,0,21,0,,,,,0.47,,567
26270436,26270437,23,c985ff13580219209374b51404005f4914d1e2fb,ruby,ok,,ruby,rspec,true,false,21,0,21,0,,,,,0.43,,567
26338350,26338351,55,56939143276025f234f3f19f185eec560df70e0f,ruby,ok,,ruby,rspec,true,false,21,0,21,0,,,,,0.63,,568
26600218,26600220,77,e9d64eccd4de94e40385ab0b3337efdeba4defeb,ruby,ok,,ruby,rspec,true,false,23,0,23,0,,,,,0.41,,614
27467240,27467242,86,d6f7328236db653108f2332dfa338c61142c2a84,ruby,ok,,ruby,rspec,true,false,23,0,23,0,,,,,0.41,,617
