tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
8668069,8668070,101,4c2602fa581b0403fb1a1968099fe3ff065646f2,unknown,unknown,,plain,,false,,,,,,,,,,,,1102
12684942,12684943,148,204474acf3e0c9296fbc60a18a3b33371eef071a,unknown,unknown,,plain,,false,,,,,,,,,,,,1265
13578911,13578912,162,e53e0688a5a73027dc43dc69e4e969ed35bb8dab,unknown,unknown,,plain,,false,,,,,,,,,,,,1273
16537810,16537812,175,4d8b8ce6d7cca3f9cf63734d391b9c7b5c7603f3,unknown,unknown,,plain,,false,,,,,,,,,,,,1301
19864996,19864999,188,166632507876b43739ecfec753c6e14a8b0a9bf7,unknown,unknown,,plain,,false,,,,,,,,,,,,1348
23213444,23213445,201,aa5a6507031d4c2af62e9427221f1e2f8c9c046b,unknown,unknown,,plain,,false,,,,,,,,,,,,1433
41849190,41849191,228,60b566b6fd1defafccea0b670bb14556b1c9cbe3,unknown,unknown,,plain,,false,,,,,,,,,,,,1504
49012756,49012757,260,d30fc7572d33a913951735b25459b182959d885b,unknown,unknown,,plain,,false,,,,,,,,,,,,1521
2534735,2534736,33,4e80c8e33ab15c15872f55bc7795255624eb77fd,unknown,unknown,,plain,,false,,,,,,,,,,,,1073
136048434,136048435,359,ef10940c56602d6a88a29fda2fe60bc6a7ac4ec8,ruby,ok,1,ruby,rspec,true,false,93,0,93,0,,,,,31.22,,1547
4706032,4706033,47,4556b0f00b940849dc8785f0e907f68902808aba,unknown,unknown,,plain,,false,,,,,,,,,,,,1088
6112185,6112186,72,acdf7e7b093a0c14dd47e831d8a4ce524eeb4cd8,unknown,unknown,,plain,,false,,,,,,,,,,,,1089
